speaker,window_start,window_end,P31_ICM,P24_ACO,P30_INTER,P100_OVERALL,P23_ATM,P13_TSF,P20_ACT,P21_AMP,P10_TRANS,P12_TGS,P11_TMA,P22_ASM,P32_IMO,P33_IAM
CSLLaptop,240.0,270.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,255.0,285.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,330.0,360.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,345.0,375.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,360.0,390.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
CSLLaptop,375.0,405.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CSLLaptop,390.0,420.0,0,0,2,0,0,0,0,0,2,0,0,1,0,1
CSLLaptop,405.0,435.0,0,0,3,0,0,0,0,0,2,0,0,1,0,1
CSLLaptop,420.0,450.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,450.0,480.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CSLLaptop,465.0,495.0,0,0,0,0,0,1,1,0,3,0,0,1,0,0
CSLLaptop,480.0,510.0,0,0,0,0,0,1,1,0,3,0,0,0,0,0
CSLLaptop,495.0,525.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,510.0,540.0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
CSLLaptop,525.0,555.0,0,0,2,0,0,0,1,1,1,0,0,1,0,0
CSLLaptop,540.0,570.0,0,0,2,0,0,0,0,1,1,0,0,1,0,0
CSLLaptop,555.0,585.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,690.0,720.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
CSLLaptop,705.0,735.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
CSLLaptop,720.0,750.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CSLLaptop,735.0,765.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CSLLaptop,900.0,930.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CSLLaptop,915.0,945.0,0,0,2,1,0,2,1,0,0,0,1,0,0,0
CSLLaptop,930.0,960.0,0,0,2,2,1,2,1,0,2,0,0,0,0,0
CSLLaptop,945.0,975.0,0,0,2,2,1,0,0,0,2,0,0,0,0,0
CSLLaptop,960.0,990.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
CSLLaptop,975.0,1005.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,1080.0,1110.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,1095.0,1125.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,1245.0,1275.0,0,0,1,0,0,0,2,0,1,0,0,0,0,0
CSLLaptop,1260.0,1290.0,0,0,2,0,0,0,3,0,2,0,0,0,0,0
CSLLaptop,1275.0,1305.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
CSLLaptop,1290.0,1320.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CSLLaptop,1305.0,1335.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CSLLaptop,1380.0,1410.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CSLLaptop,1395.0,1425.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CSLLaptop,1455.0,1485.0,0,0,1,0,0,3,3,0,5,0,0,0,0,0
CSLLaptop,1470.0,1500.0,0,0,2,0,0,3,3,0,5,0,0,0,0,0
CSLLaptop,1485.0,1515.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1635.0,1665.0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
CSLLaptop,1650.0,1680.0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
CSLLaptop,1665.0,1695.0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
CSLLaptop,1680.0,1710.0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
