window_start,window_end,P22_ASM,P12_TGS,P10_TRANS,P100_OVERALL,P24_ACO,P13_TSF,P32_IMO,P23_ATM,P20_ACT,P30_INTER,P31_ICM,P11_TMA,P33_IAM,P21_AMP,speaker
135.0,165.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,HCILab1
150.0,180.0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,HCILab1
165.0,195.0,0,0,2,1,1,1,0,0,1,0,0,0,0,2,HCILab1
180.0,210.0,1,0,2,1,1,1,0,0,1,0,0,0,0,2,"HCILab1, HCILab2"
195.0,225.0,1,0,2,0,0,0,0,0,2,2,0,1,1,2,"HCILab1, HCILab2"
210.0,240.0,0,0,1,1,0,1,0,0,4,4,0,2,1,0,"HCILab1, HCILab2"
225.0,255.0,0,0,1,1,0,1,0,0,2,2,0,1,1,0,HCILab2
240.0,270.0,0,0,1,2,0,1,0,0,5,3,0,1,0,0,"CSLLaptop, HCILab2"
255.0,285.0,0,0,2,1,0,0,0,0,3,4,0,0,0,0,"CSLLaptop, CSLPC, HCILab2"
270.0,300.0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,"CSLLaptop, CSLPC, HCILab2"
285.0,315.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,"CSLPC, HCILab1"
300.0,330.0,0,0,1,4,0,0,0,0,2,4,0,0,0,0,"CSLPC, HCILab1"
315.0,345.0,0,0,1,7,0,0,0,0,0,5,0,0,0,0,"CSLPC, HCILab1, HCILab2"
330.0,360.0,1,0,0,4,0,0,0,0,0,7,0,1,0,1,"CSLPC, HCILab1, HCILab2"
345.0,375.0,2,0,0,2,0,0,0,0,1,8,0,1,0,1,"CSLPC, HCILab1, HCILab2"
360.0,390.0,2,0,1,0,0,0,0,0,1,10,0,1,0,0,"CSLPC, HCILab1"
375.0,405.0,2,0,2,1,0,1,0,0,0,5,0,0,1,2,"CSLPC, HCILab1"
390.0,420.0,3,0,2,2,0,1,0,0,0,4,0,0,2,2,"HCILab1, HCILab2"
405.0,435.0,4,0,4,3,0,2,0,0,0,13,0,0,2,1,"CSLPC, HCILab1, HCILab2"
420.0,450.0,4,0,4,2,0,1,0,0,0,13,0,0,1,0,"CSLPC, HCILab2"
435.0,465.0,3,0,6,1,0,1,0,0,1,15,0,0,1,0,CSLPC
450.0,480.0,3,0,6,3,0,1,0,0,1,18,0,0,1,0,"CSLPC, HCILab2"
