speaker,window_start,window_end,P31_ICM,P24_ACO,P30_INTER,P100_OVERALL,P23_ATM,P13_TSF,P20_ACT,P21_AMP,P10_TRANS,P12_TGS,P11_TMA,P22_ASM,P32_IMO,P33_IAM
HCILab2,1050.0,1080.0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
HCILab2,1080.0,1110.0,0,0,2,0,0,0,0,1,3,0,0,1,0,0
HCILab2,1095.0,1125.0,0,0,4,0,0,0,0,1,4,0,0,1,0,0
HCILab2,1110.0,1140.0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
HCILab2,1125.0,1155.0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
HCILab2,1170.0,1200.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
HCILab2,1185.0,1215.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
HCILab2,1230.0,1260.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab2,1245.0,1275.0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
HCILab2,1260.0,1290.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
HCILab2,1440.0,1470.0,0,0,4,0,0,0,0,0,0,0,3,0,0,0
HCILab2,1455.0,1485.0,0,0,13,0,0,0,0,0,1,0,3,0,0,0
HCILab2,1470.0,1500.0,0,1,10,1,0,0,0,0,1,0,0,0,0,0
HCILab2,1485.0,1515.0,0,1,5,1,0,0,1,0,2,0,0,0,0,0
HCILab2,1500.0,1530.0,0,0,6,1,0,0,1,0,4,0,0,0,0,0
HCILab2,1515.0,1545.0,0,0,2,2,0,0,0,0,2,0,0,0,0,0
HCILab2,1530.0,1560.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab2,1560.0,1590.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
HCILab2,1575.0,1605.0,0,1,2,0,0,0,0,0,1,0,0,0,0,0
HCILab2,1590.0,1620.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,1665.0,1695.0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
HCILab2,1680.0,1710.0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
HCILab2,1710.0,1740.0,0,0,4,0,1,0,1,0,0,0,0,0,0,0
HCILab2,1725.0,1755.0,0,0,5,0,1,0,2,0,0,0,0,0,0,0
HCILab2,1740.0,1770.0,0,0,1,3,0,0,1,0,0,0,0,0,0,0
HCILab2,1755.0,1785.0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
HCILab2,1770.0,1800.0,0,0,3,2,0,0,0,0,1,0,0,0,0,1
HCILab2,1785.0,1815.0,0,0,1,2,0,0,0,0,3,0,0,0,0,1
HCILab2,1800.0,1830.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
HCILab2,1830.0,1860.0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
HCILab2,1845.0,1875.0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
HCILab2,1905.0,1935.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
HCILab2,1920.0,1950.0,0,0,3,0,0,0,1,0,3,0,0,0,0,0
HCILab2,1935.0,1965.0,0,0,6,1,0,1,1,0,2,0,0,1,0,1
HCILab2,1950.0,1980.0,0,0,10,4,0,1,1,0,2,0,0,1,0,1
HCILab2,1965.0,1995.0,0,0,7,3,0,0,1,0,1,0,0,0,0,0
HCILab2,1980.0,2010.0,0,0,2,2,0,0,0,0,5,1,0,0,0,0
HCILab2,1995.0,2025.0,0,0,2,4,0,0,0,0,7,1,0,0,0,0
HCILab2,2010.0,2040.0,0,0,2,2,0,0,0,0,2,0,0,0,0,0
HCILab2,2055.0,2085.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
HCILab2,2070.0,2100.0,0,0,3,0,0,0,1,0,0,1,0,0,0,0
HCILab2,2085.0,2115.0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
HCILab2,2100.0,2130.0,0,0,2,0,0,0,0,0,6,0,0,0,0,0
HCILab2,2115.0,2145.0,0,0,2,0,0,0,0,1,5,0,0,0,0,0
HCILab2,2130.0,2160.0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
HCILab2,2160.0,2190.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
HCILab2,2175.0,2205.0,0,0,2,2,0,0,0,0,4,1,0,0,0,0
HCILab2,2190.0,2220.0,0,0,6,1,0,0,1,0,5,0,0,0,0,0
HCILab2,2205.0,2235.0,0,0,5,0,0,0,1,0,2,0,0,0,0,0
HCILab2,2235.0,2265.0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
HCILab2,2250.0,2280.0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
HCILab2,2280.0,2310.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,2295.0,2325.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,2310.0,2340.0,0,0,2,1,0,2,0,0,1,0,0,0,0,0
HCILab2,2325.0,2355.0,0,0,3,3,0,2,0,0,2,0,0,0,0,0
HCILab2,2340.0,2370.0,0,0,2,2,0,0,0,0,3,1,0,0,0,0
HCILab2,2355.0,2385.0,0,0,2,1,0,0,0,0,2,1,0,0,0,0
HCILab2,2370.0,2400.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
HCILab2,2415.0,2445.0,0,0,2,1,0,0,0,0,2,0,1,0,0,0
HCILab2,2430.0,2460.0,0,0,4,1,0,1,0,0,4,0,1,0,0,0
HCILab2,2445.0,2475.0,0,0,2,0,0,1,0,0,2,0,0,0,0,0
HCILab2,2490.0,2520.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,2505.0,2535.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,2550.0,2580.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
HCILab2,2565.0,2595.0,0,0,2,2,0,0,5,0,0,0,0,0,0,0
HCILab2,2580.0,2610.0,0,0,2,1,0,0,4,0,0,0,0,0,0,0
HCILab2,2595.0,2625.0,0,0,1,1,0,0,0,0,4,0,0,0,0,0
HCILab2,2610.0,2640.0,0,0,1,4,0,0,0,0,4,0,0,0,0,0
HCILab2,2625.0,2655.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
HCILab2,2640.0,2670.0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
HCILab2,2655.0,2685.0,0,0,4,4,0,0,0,0,1,1,0,1,0,0
HCILab2,2670.0,2700.0,0,0,3,0,0,0,0,0,2,1,0,1,0,0
HCILab2,2685.0,2715.0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
HCILab2,2700.0,2730.0,0,0,3,1,0,0,1,0,4,0,0,0,0,0
HCILab2,2715.0,2745.0,0,0,1,1,0,0,1,1,6,0,0,1,0,0
HCILab2,2730.0,2760.0,0,0,1,1,0,0,1,1,2,0,0,2,0,0
HCILab2,2745.0,2775.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
HCILab2,2760.0,2790.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
HCILab2,2775.0,2805.0,0,0,3,1,0,0,0,0,2,0,0,1,0,0
HCILab2,2790.0,2820.0,0,0,2,3,0,0,1,0,1,0,0,1,0,0
HCILab2,2805.0,2835.0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
HCILab2,2850.0,2880.0,0,0,5,1,0,0,1,0,1,0,0,0,0,0
HCILab2,2865.0,2895.0,0,0,5,1,0,0,1,0,1,0,0,0,0,0
HCILab2,2895.0,2925.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HCILab2,2910.0,2940.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HCILab2,2955.0,2985.0,0,0,5,2,0,0,0,0,1,0,0,0,0,0
HCILab2,2970.0,3000.0,0,0,7,4,0,1,0,0,3,0,0,0,0,0
HCILab2,2985.0,3015.0,0,0,2,2,0,1,0,0,2,0,0,0,0,0
HCILab2,3000.0,3030.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,3015.0,3045.0,0,0,2,0,0,0,2,0,1,0,0,0,0,0
HCILab2,3030.0,3060.0,0,0,1,1,0,0,3,0,4,0,0,0,0,0
HCILab2,3045.0,3075.0,0,0,1,3,0,0,1,0,3,0,0,0,0,0
HCILab2,3060.0,3090.0,0,0,1,2,0,0,0,0,1,0,2,0,0,0
HCILab2,3075.0,3105.0,0,0,1,2,0,0,1,0,2,0,2,0,0,0
HCILab2,3090.0,3120.0,0,0,1,2,0,0,1,0,1,0,0,0,0,0
HCILab2,3150.0,3180.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
HCILab2,3165.0,3195.0,0,0,6,2,0,0,2,0,2,1,0,0,0,0
HCILab2,3180.0,3210.0,0,0,6,3,0,0,2,0,1,1,0,0,0,0
HCILab2,3195.0,3225.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
HCILab2,3315.0,3345.0,0,0,1,3,0,0,1,0,0,0,0,0,0,0
HCILab2,3330.0,3360.0,0,0,1,3,0,0,2,0,1,0,0,0,0,0
HCILab2,3345.0,3375.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
HCILab2,3360.0,3390.0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
HCILab2,3375.0,3405.0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
HCILab2,3525.0,3555.0,0,0,2,1,0,0,0,0,0,0,0,1,0,0
HCILab2,3540.0,3570.0,0,0,7,2,0,0,2,1,1,0,0,1,0,0
HCILab2,3555.0,3585.0,0,0,7,2,0,0,3,2,2,0,0,0,0,0
HCILab2,3570.0,3600.0,0,0,2,1,0,0,1,1,1,0,0,0,0,0
HCILab2,3615.0,3645.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
HCILab2,3630.0,3660.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
HCILab2,3735.0,3765.0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
HCILab2,3750.0,3780.0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
