speaker,window_start,window_end,P22_ASM,P12_TGS,P10_TRANS,P100_OVERALL,P24_ACO,P13_TSF,P32_IMO,P23_ATM,P20_ACT,P30_INTER,P31_ICM,P11_TMA,P33_IAM,P21_AMP
CSLLaptop,1995.0,2025.0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
CSLLaptop,2010.0,2040.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,2025.0,2055.0,0,0,3,1,0,0,0,0,1,4,0,0,0,0
CSLLaptop,2040.0,2070.0,0,0,1,1,0,0,0,0,1,4,0,0,0,0
CSLLaptop,2055.0,2085.0,0,0,1,1,0,0,0,0,1,6,0,0,0,0
CSLLaptop,2070.0,2100.0,0,0,1,1,0,1,0,0,1,6,0,0,0,0
CSLLaptop,2085.0,2115.0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
CSLLaptop,2295.0,2325.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
CSLLaptop,2310.0,2340.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
CSLLaptop,2325.0,2355.0,1,0,0,1,0,1,0,0,4,0,0,0,2,0
CSLLaptop,2340.0,2370.0,1,0,1,1,0,1,0,0,2,0,0,0,2,0
CSLLaptop,2355.0,2385.0,1,0,1,0,0,0,0,0,3,0,0,0,1,0
CSLLaptop,2370.0,2400.0,0,0,0,0,0,1,0,0,2,10,0,0,0,0
CSLLaptop,2385.0,2415.0,0,0,0,0,0,1,0,0,1,10,0,0,0,0
CSLLaptop,2400.0,2430.0,0,0,0,0,0,1,0,0,1,8,0,0,0,0
CSLLaptop,2430.0,2460.0,0,0,1,0,0,0,0,2,0,2,0,0,0,0
CSLLaptop,2445.0,2475.0,0,0,1,0,0,0,0,2,0,2,0,0,0,0
CSLLaptop,2520.0,2550.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
CSLLaptop,2535.0,2565.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
CSLLaptop,2550.0,2580.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
CSLLaptop,2790.0,2820.0,0,0,0,1,0,1,0,0,0,2,0,0,0,0
CSLLaptop,2805.0,2835.0,0,0,0,1,0,1,0,0,1,4,0,0,0,0
CSLLaptop,2820.0,2850.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
CSLLaptop,2895.0,2925.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CSLLaptop,2910.0,2940.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CSLLaptop,2925.0,2955.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,2940.0,2970.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,2955.0,2985.0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
CSLLaptop,2970.0,3000.0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
CSLLaptop,2985.0,3015.0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
CSLLaptop,3060.0,3090.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CSLLaptop,3075.0,3105.0,0,0,3,0,1,1,0,0,3,1,0,0,0,0
CSLLaptop,3090.0,3120.0,0,0,3,0,1,1,0,0,3,2,0,0,0,0
CSLLaptop,3105.0,3135.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3210.0,3240.0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
CSLLaptop,3225.0,3255.0,0,0,2,1,0,1,0,0,2,2,0,0,0,0
CSLLaptop,3240.0,3270.0,0,0,2,1,0,0,0,0,3,3,0,0,0,0
CSLLaptop,3255.0,3285.0,0,0,1,1,0,0,0,0,2,3,0,0,0,0
CSLLaptop,3330.0,3360.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CSLLaptop,3345.0,3375.0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
CSLLaptop,3360.0,3390.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,3375.0,3405.0,0,0,0,1,0,1,0,0,2,2,0,0,0,0
CSLLaptop,3390.0,3420.0,0,0,0,1,0,1,0,0,2,2,0,0,0,0
CSLLaptop,3405.0,3435.0,0,0,0,1,0,1,0,0,2,2,0,0,0,0
CSLLaptop,3465.0,3495.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3480.0,3510.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3510.0,3540.0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,3525.0,3555.0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,3615.0,3645.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3630.0,3660.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3645.0,3675.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CSLLaptop,3660.0,3690.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
CSLLaptop,3675.0,3705.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
