speaker,window_start,window_end,P31_ICM,P24_ACO,P30_INTER,P100_OVERALL,P23_ATM,P13_TSF,P20_ACT,P21_AMP,P10_TRANS,P12_TGS,P11_TMA,P22_ASM,P32_IMO,P33_IAM
CSLPC,1845.0,1875.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,1860.0,1890.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CSLPC,1875.0,1905.0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
CSLPC,1890.0,1920.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
CSLPC,1950.0,1980.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,1965.0,1995.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
CSLPC,1980.0,2010.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
CSLPC,1995.0,2025.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLPC,2085.0,2115.0,0,0,1,1,0,1,3,0,1,0,1,0,0,0
CSLPC,2100.0,2130.0,0,0,1,1,0,1,3,0,1,0,1,0,0,0
CSLPC,2205.0,2235.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
CSLPC,2220.0,2250.0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
CSLPC,2235.0,2265.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLPC,2265.0,2295.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CSLPC,2280.0,2310.0,0,0,1,1,0,0,4,1,1,0,0,0,0,0
CSLPC,2295.0,2325.0,0,0,0,1,0,0,4,0,1,0,0,0,0,0
CSLPC,2400.0,2430.0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
CSLPC,2415.0,2445.0,0,0,2,1,0,2,0,0,0,0,0,1,0,0
CSLPC,2430.0,2460.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
CSLPC,2445.0,2475.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2460.0,2490.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2505.0,2535.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2520.0,2550.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2535.0,2565.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2550.0,2580.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2565.0,2595.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CSLPC,2580.0,2610.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CSLPC,2655.0,2685.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLPC,2670.0,2700.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CSLPC,2685.0,2715.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLPC,2700.0,2730.0,0,0,1,0,2,0,2,0,2,0,0,0,0,0
CSLPC,2715.0,2745.0,0,0,2,1,2,0,2,0,2,0,0,0,0,0
CSLPC,2730.0,2760.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CSLPC,2760.0,2790.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
CSLPC,2775.0,2805.0,0,0,2,1,0,0,3,0,0,0,0,1,0,0
CSLPC,2790.0,2820.0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
CSLPC,2865.0,2895.0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
CSLPC,2880.0,2910.0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
CSLPC,2895.0,2925.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2910.0,2940.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2925.0,2955.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
CSLPC,2940.0,2970.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
CSLPC,3000.0,3030.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,3015.0,3045.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,3150.0,3180.0,0,0,2,0,0,1,3,0,1,0,0,1,0,0
CSLPC,3165.0,3195.0,0,0,2,1,0,1,4,0,2,0,0,1,0,0
CSLPC,3180.0,3210.0,0,0,2,1,0,0,3,0,2,0,0,0,0,0
CSLPC,3195.0,3225.0,0,0,2,0,0,0,2,0,2,0,0,0,0,0
CSLPC,3210.0,3240.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLPC,3270.0,3300.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
CSLPC,3285.0,3315.0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
CSLPC,3300.0,3330.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
CSLPC,3465.0,3495.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CSLPC,3480.0,3510.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CSLPC,3495.0,3525.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CSLPC,3510.0,3540.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CSLPC,3570.0,3600.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
CSLPC,3585.0,3615.0,0,0,2,0,0,1,1,0,2,0,0,1,0,0
CSLPC,3600.0,3630.0,0,0,2,0,0,2,2,0,1,0,0,1,0,0
CSLPC,3615.0,3645.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
