window_start,window_end,P31_ICM,P32_IMO,P30_INTER,P11_TMA,P23_ATM,P21_AMP,P12_TGS,P24_ACO,P22_ASM,P100_OVERALL,P10_TRANS,P20_ACT,P33_IAM,P13_TSF,speaker
180.0,210.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,HCILab2
195.0,225.0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,"CSL_Laptop, HCILab2"
210.0,240.0,0,0,6,0,0,0,0,0,0,2,1,1,0,0,"CSL_Laptop, HCILab2"
225.0,255.0,0,0,5,0,1,0,0,0,0,3,3,0,1,0,HCILab2
240.0,270.0,0,0,5,0,1,0,0,0,0,2,3,0,1,0,"CSL_Laptop, HCILab2"
255.0,285.0,0,0,5,0,0,0,0,0,0,2,1,0,1,1,"CSL_Laptop, HCILab2"
270.0,300.0,0,0,6,0,0,0,0,0,0,1,1,1,1,1,HCILab2
285.0,315.0,0,0,6,0,0,0,0,0,0,1,4,2,1,1,HCILab2
300.0,330.0,0,0,5,0,0,0,0,0,0,1,7,1,1,2,HCILab2
315.0,345.0,0,1,2,0,0,0,0,0,0,1,4,1,0,1,HCILab2
330.0,360.0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,"HCILab1, HCILab2"
345.0,375.0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,"HCILab1, HCILab2"
360.0,390.0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,HCILab2
375.0,405.0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,HCILab2
390.0,420.0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,HCILab2
405.0,435.0,0,0,1,1,0,0,0,0,0,3,2,2,0,0,HCILab2
420.0,450.0,0,0,2,0,0,0,0,0,0,3,2,1,0,0,"CSL_Laptop, HCILab1, HCILab2"
435.0,465.0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,"CSL_Laptop, HCILab1, HCILab2"
450.0,480.0,0,0,3,0,0,0,0,0,0,2,2,2,0,1,"CSL_Laptop, Chris, HCILab2"
465.0,495.0,0,0,5,0,0,0,0,0,0,2,1,3,0,1,"CSL_Laptop, Chris, HCILab2"
480.0,510.0,0,0,5,0,0,0,0,0,0,1,1,1,0,0,"Chris, HCILab2"
495.0,525.0,0,0,2,0,0,0,0,0,0,3,2,1,0,0,"CSL_Laptop, HCILab2"
510.0,540.0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,"CSL_Laptop, HCILab2"
525.0,555.0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,HCILab2
555.0,585.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HCILab2
570.0,600.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"CSL_Laptop, HCILab1, HCILab2"
585.0,615.0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,"CSL_Laptop, HCILab1, HCILab2"
600.0,630.0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,"CSL_Laptop, HCILab1, HCILab2"
615.0,645.0,0,0,2,0,0,0,0,0,0,4,2,0,1,0,"CSL_Laptop, HCILab2"
630.0,660.0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,"CSL_Laptop, HCILab2"
645.0,675.0,0,0,2,0,0,0,1,0,0,3,16,2,0,0,"HCILab1, HCILab2"
660.0,690.0,0,0,2,0,0,0,1,0,0,3,31,0,0,0,"HCILab1, HCILab2"
675.0,705.0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,HCILab2
690.0,720.0,0,0,1,0,0,0,0,0,0,3,4,1,0,0,HCILab2
705.0,735.0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,HCILab2
720.0,750.0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,HCILab2
735.0,765.0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,HCILab2
750.0,780.0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,HCILab2
780.0,810.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HCILab2
795.0,825.0,0,0,3,0,1,0,0,0,0,1,0,2,0,2,HCILab2
810.0,840.0,0,0,4,0,1,0,0,0,0,2,1,1,0,2,HCILab2
825.0,855.0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,HCILab2
840.0,870.0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,HCILab2
855.0,885.0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,HCILab2
870.0,900.0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,HCILab2
885.0,915.0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,HCILab2
900.0,930.0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,HCILab2
915.0,945.0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,HCILab2
930.0,960.0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,HCILab2
945.0,975.0,0,0,3,0,0,0,0,0,0,1,3,0,0,1,"HCILab1, HCILab2"
960.0,990.0,0,0,2,0,0,0,0,0,0,1,2,1,0,2,"HCILab1, HCILab2"
975.0,1005.0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,"HCILab1, HCILab2"
990.0,1020.0,0,0,2,0,0,0,0,0,0,2,0,2,0,2,HCILab2
1065.0,1095.0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,HCILab2
1080.0,1110.0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,"HCILab1, HCILab2"
1095.0,1125.0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,"HCILab1, HCILab2"
