window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT,speaker
840.0,870.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,SPEAKER_02
855.0,885.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SPEAKER_02
870.0,900.0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,SPEAKER_02
885.0,915.0,0,1,0,0,4,1,0,1,0,0,0,2,0,2,SPEAKER_02
900.0,930.0,0,1,0,0,1,1,0,1,0,0,0,3,0,1,"SPEAKER_01, SPEAKER_02"
915.0,945.0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,SPEAKER_01
930.0,960.0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,SPEAKER_01
945.0,975.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_02"
960.0,990.0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,SPEAKER_02
975.0,1005.0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,SPEAKER_02
990.0,1020.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,SPEAKER_02
1005.0,1035.0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,SPEAKER_02
1020.0,1050.0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_02"
1035.0,1065.0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,"SPEAKER_01, SPEAKER_02, SPEAKER_05"
1050.0,1080.0,0,2,0,0,3,0,0,1,0,0,0,3,0,2,"SPEAKER_02, SPEAKER_05"
1065.0,1095.0,0,2,0,0,3,0,0,0,0,0,0,2,0,3,"SPEAKER_02, SPEAKER_05"
1080.0,1110.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,SPEAKER_02
1155.0,1185.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,SPEAKER_02
1170.0,1200.0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,SPEAKER_02
1185.0,1215.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,SPEAKER_02
1200.0,1230.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,SPEAKER_02
1230.0,1260.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,SPEAKER_02
1245.0,1275.0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_02"
1260.0,1290.0,1,1,0,0,3,0,0,2,0,0,1,0,0,0,"SPEAKER_01, SPEAKER_02"
1275.0,1305.0,1,1,0,0,2,0,0,2,0,0,1,0,0,0,SPEAKER_02
1290.0,1320.0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_02"
1305.0,1335.0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02"
1320.0,1350.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,SPEAKER_02
1335.0,1365.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"SPEAKER_02, SPEAKER_04"
1350.0,1380.0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,"SPEAKER_02, SPEAKER_04"
1365.0,1395.0,0,1,0,0,3,0,0,3,0,0,0,0,0,1,"SPEAKER_02, SPEAKER_04"
1380.0,1410.0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_06"
1395.0,1425.0,0,2,0,0,0,0,0,0,1,0,1,0,0,6,"SPEAKER_02, SPEAKER_06"
1410.0,1440.0,0,1,0,0,2,0,0,0,1,0,1,0,0,5,"SPEAKER_02, SPEAKER_04, SPEAKER_06"
1425.0,1455.0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,"SPEAKER_02, SPEAKER_04, SPEAKER_06"
1440.0,1470.0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,SPEAKER_02
1455.0,1485.0,0,4,0,0,0,0,0,2,0,0,1,0,0,2,SPEAKER_02
1470.0,1500.0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,SPEAKER_02
1485.0,1515.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,SPEAKER_02
1500.0,1530.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,SPEAKER_02
1515.0,1545.0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,"SPEAKER_01, SPEAKER_02"
1530.0,1560.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,"SPEAKER_01, SPEAKER_02"
1545.0,1575.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,"SPEAKER_02, SPEAKER_03"
1560.0,1590.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"SPEAKER_02, SPEAKER_03"
1590.0,1620.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,SPEAKER_05
1605.0,1635.0,0,1,0,0,2,0,0,1,1,0,0,0,1,3,"SPEAKER_02, SPEAKER_05"
1620.0,1650.0,0,1,0,0,2,0,0,2,1,0,0,0,0,1,SPEAKER_02
1635.0,1665.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SPEAKER_02
1665.0,1695.0,0,2,0,0,1,0,1,0,0,0,0,0,1,1,SPEAKER_05
1680.0,1710.0,0,4,0,0,1,0,1,0,0,0,0,0,1,2,SPEAKER_05
1695.0,1725.0,0,6,0,0,1,0,0,0,0,0,0,1,0,1,"SPEAKER_02, SPEAKER_05"
1710.0,1740.0,0,10,0,0,2,0,0,0,0,0,1,2,0,3,"SPEAKER_02, SPEAKER_05"
1725.0,1755.0,0,7,0,0,2,0,0,0,0,0,1,1,0,3,SPEAKER_02
1740.0,1770.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,SPEAKER_02
1785.0,1815.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"SPEAKER_02, SPEAKER_04"
1800.0,1830.0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,"SPEAKER_02, SPEAKER_04"
1815.0,1845.0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,SPEAKER_02
1830.0,1860.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,SPEAKER_02
1845.0,1875.0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,SPEAKER_02
1860.0,1890.0,0,3,0,0,1,0,0,4,0,0,0,1,0,1,SPEAKER_02
1875.0,1905.0,0,1,0,0,2,0,0,3,0,0,0,1,0,3,"SPEAKER_02, SPEAKER_05"
1890.0,1920.0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,"SPEAKER_05, SPEAKER_06"
1905.0,1935.0,0,1,0,0,5,0,0,5,0,0,1,0,0,3,"SPEAKER_02, SPEAKER_05, SPEAKER_06"
1920.0,1950.0,0,1,0,0,5,0,0,7,1,0,1,0,0,3,"SPEAKER_02, SPEAKER_05"
1935.0,1965.0,0,1,0,0,2,0,0,3,1,0,1,0,0,1,SPEAKER_02
1950.0,1980.0,0,1,0,0,3,0,0,2,1,0,2,0,0,2,SPEAKER_02
1965.0,1995.0,1,0,0,0,2,0,0,2,1,0,2,0,0,2,SPEAKER_02
1980.0,2010.0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,SPEAKER_02
1995.0,2025.0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,SPEAKER_02
2010.0,2040.0,1,1,0,0,1,0,0,4,0,0,1,1,0,2,SPEAKER_02
2025.0,2055.0,0,2,0,0,2,0,0,6,0,0,1,1,0,2,"SPEAKER_02, SPEAKER_04"
2040.0,2070.0,0,3,0,0,1,0,0,4,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_02, SPEAKER_04"
2055.0,2085.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,"SPEAKER_01, SPEAKER_04"
2070.0,2100.0,0,1,0,0,2,0,0,1,0,0,0,1,0,2,"SPEAKER_01, SPEAKER_02"
2085.0,2115.0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_02"
2100.0,2130.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,SPEAKER_02
2115.0,2145.0,0,3,0,0,2,0,0,1,1,0,0,0,0,1,"SPEAKER_02, SPEAKER_05"
2130.0,2160.0,0,2,0,0,3,0,0,0,1,0,0,0,0,1,SPEAKER_05
2145.0,2175.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,SPEAKER_05
2205.0,2235.0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,"SPEAKER_01, SPEAKER_02"
2220.0,2250.0,0,3,0,0,2,0,0,1,1,0,0,0,0,1,"SPEAKER_01, SPEAKER_02"
2235.0,2265.0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_02, SPEAKER_05"
2250.0,2280.0,0,2,0,0,5,1,0,2,0,0,0,0,0,3,"SPEAKER_02, SPEAKER_04, SPEAKER_05"
2265.0,2295.0,0,1,0,0,4,1,0,2,0,0,0,1,0,1,"SPEAKER_02, SPEAKER_04"
2280.0,2310.0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,SPEAKER_02
2295.0,2325.0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,SPEAKER_02
2310.0,2340.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,SPEAKER_02
