speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_02,0.0,30.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SPEAKER_02,45.0,75.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,60.0,90.0,0,1,0,0,0,0,0,1,0,0,0,4,0,3
SPEAKER_02,75.0,105.0,0,1,0,0,1,0,0,0,0,0,1,5,0,11
SPEAKER_02,90.0,120.0,0,3,0,0,5,0,0,2,0,0,1,2,0,8
SPEAKER_02,105.0,135.0,0,4,0,0,4,0,0,5,0,1,3,4,0,3
SPEAKER_02,120.0,150.0,0,1,0,0,0,0,1,5,0,1,6,3,0,5
SPEAKER_02,135.0,165.0,0,3,0,0,1,0,1,7,0,0,3,1,0,4
SPEAKER_02,150.0,180.0,0,3,0,0,2,0,1,6,0,0,0,1,0,2
SPEAKER_02,165.0,195.0,0,1,0,0,2,0,0,3,0,0,0,0,0,1
SPEAKER_02,180.0,210.0,0,2,0,0,2,0,0,2,0,0,0,0,0,2
SPEAKER_02,195.0,225.0,0,4,0,0,1,0,0,0,0,0,0,1,0,4
SPEAKER_02,210.0,240.0,0,3,0,0,0,1,0,5,0,0,0,3,0,3
SPEAKER_02,225.0,255.0,1,3,0,0,0,2,1,6,1,0,0,2,0,3
SPEAKER_02,240.0,270.0,1,3,0,0,0,1,1,2,1,0,0,0,0,3
SPEAKER_02,255.0,285.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,765.0,795.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_02,780.0,810.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_02,795.0,825.0,0,1,0,0,3,0,0,1,0,0,1,1,0,4
SPEAKER_02,810.0,840.0,0,4,0,0,2,0,0,2,0,0,1,3,0,5
SPEAKER_02,825.0,855.0,1,4,0,0,1,0,0,1,0,0,0,2,0,2
SPEAKER_02,840.0,870.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_02,855.0,885.0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
SPEAKER_02,870.0,900.0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
SPEAKER_02,885.0,915.0,0,0,0,0,2,0,0,2,0,0,1,0,0,2
SPEAKER_02,900.0,930.0,0,0,0,0,2,1,0,4,1,0,1,1,0,2
SPEAKER_02,915.0,945.0,0,0,0,0,1,1,0,2,1,0,0,1,0,0
SPEAKER_02,3765.0,3795.0,0,0,0,0,5,0,0,0,0,0,0,1,0,1
SPEAKER_02,3780.0,3810.0,0,0,0,0,5,0,0,1,0,0,0,1,0,1
SPEAKER_02,3795.0,3825.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,3810.0,3840.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_02,3825.0,3855.0,0,1,0,0,4,0,0,0,0,0,1,0,0,4
SPEAKER_02,3840.0,3870.0,0,1,0,0,4,0,0,1,0,0,1,0,0,4
SPEAKER_02,3855.0,3885.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
