speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_01,15.0,45.0,0,2,0,0,0,0,0,3,0,0,1,1,0,3
SPEAKER_01,30.0,60.0,0,2,0,0,3,0,0,3,0,0,1,2,0,10
SPEAKER_01,45.0,75.0,0,4,0,0,5,0,0,2,0,0,0,3,0,9
SPEAKER_01,60.0,90.0,0,4,0,0,2,0,0,4,0,1,4,3,0,4
SPEAKER_01,75.0,105.0,0,1,0,0,0,0,1,7,0,1,6,2,0,4
SPEAKER_01,90.0,120.0,0,1,0,0,2,0,1,8,0,0,2,1,0,4
SPEAKER_01,105.0,135.0,0,0,0,0,3,0,0,3,0,0,0,0,0,3
SPEAKER_01,120.0,150.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
