speaker,window_start,window_end,P31_ICM,P32_IMO,P30_INTER,P11_TMA,P23_ATM,P21_AMP,P12_TGS,P24_ACO,P22_ASM,P100_OVERALL,P10_TRANS,P20_ACT,P33_IAM,P13_TSF
Chris,495.0,525.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Chris,510.0,540.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Chris,2970.0,3000.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Chris,2985.0,3015.0,0,0,2,0,0,2,0,0,0,2,2,1,0,0
Chris,3000.0,3030.0,0,0,2,0,0,2,0,0,0,0,2,1,0,0
Chris,3105.0,3135.0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
Chris,3120.0,3150.0,0,0,4,0,0,0,0,0,1,2,2,3,0,0
Chris,3135.0,3165.0,0,0,5,0,0,0,0,0,1,2,2,3,0,0
Chris,3150.0,3180.0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
