speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_03,15.0,45.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,30.0,60.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,135.0,165.0,0,1,0,0,0,0,0,0,0,0,0,2,0,1
SPEAKER_03,150.0,180.0,0,2,0,0,0,0,0,2,0,0,0,3,0,1
SPEAKER_03,165.0,195.0,0,1,0,0,0,0,0,2,0,0,0,1,0,0
SPEAKER_03,195.0,225.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_03,210.0,240.0,0,0,0,0,3,0,0,1,0,0,1,1,0,2
SPEAKER_03,225.0,255.0,0,0,0,0,2,0,0,1,0,0,1,1,0,3
SPEAKER_03,240.0,270.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SPEAKER_03,480.0,510.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,495.0,525.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,3735.0,3765.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_03,3750.0,3780.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_03,3765.0,3795.0,1,1,0,0,2,0,0,0,0,0,0,0,0,1
SPEAKER_03,3780.0,3810.0,0,0,0,0,4,0,0,1,0,0,1,0,0,3
SPEAKER_03,3795.0,3825.0,0,1,0,0,3,0,0,2,0,0,1,0,0,3
SPEAKER_03,3810.0,3840.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
