speaker,window_start,window_end,P10_TRANS,P20_ACT,P21_AMP,P12_TGS,P22_ASM,P100_OVERALL,P33_IAM,P23_ATM,P31_ICM,P11_TMA,P30_INTER,P13_TSF,P32_IMO,P24_ACO
CSLLaptop,180.0,210.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CSLLaptop,195.0,225.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CSLLaptop,210.0,240.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
CSLLaptop,225.0,255.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CSLLaptop,240.0,270.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CSLLaptop,255.0,285.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CSLLaptop,270.0,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CSLLaptop,330.0,360.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CSLLaptop,345.0,375.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CSLLaptop,720.0,750.0,0,2,0,0,0,0,0,0,0,0,1,1,0,0
CSLLaptop,735.0,765.0,0,2,0,0,0,0,0,0,0,0,1,1,0,0
CSLLaptop,750.0,780.0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
CSLLaptop,765.0,795.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
CSLLaptop,900.0,930.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CSLLaptop,915.0,945.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CSLLaptop,975.0,1005.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CSLLaptop,990.0,1020.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CSLLaptop,1245.0,1275.0,1,1,0,0,1,1,0,0,0,0,1,0,0,0
CSLLaptop,1260.0,1290.0,2,1,0,0,1,2,0,0,0,0,1,0,0,0
CSLLaptop,1275.0,1305.0,2,1,0,0,1,2,0,0,0,0,1,0,0,0
CSLLaptop,1830.0,1860.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CSLLaptop,1845.0,1875.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CSLLaptop,2070.0,2100.0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
CSLLaptop,2085.0,2115.0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
CSLLaptop,2100.0,2130.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CSLLaptop,2790.0,2820.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CSLLaptop,2805.0,2835.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CSLLaptop,2910.0,2940.0,1,3,0,0,0,2,0,0,0,0,1,0,0,0
CSLLaptop,2925.0,2955.0,1,4,0,0,0,2,0,0,0,0,3,0,0,0
CSLLaptop,2940.0,2970.0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
CSLLaptop,2985.0,3015.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
CSLLaptop,3000.0,3030.0,0,2,0,0,0,2,1,0,0,0,1,0,0,0
CSLLaptop,3015.0,3045.0,0,2,0,0,0,2,1,0,0,0,1,0,0,0
CSLLaptop,3900.0,3930.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CSLLaptop,3915.0,3945.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
