window_start,window_end,P31_ICM,P32_IMO,P30_INTER,P11_TMA,P23_ATM,P21_AMP,P12_TGS,P24_ACO,P22_ASM,P100_OVERALL,P10_TRANS,P20_ACT,P33_IAM,P13_TSF,speaker
1140.0,1170.0,0,0,7,0,0,0,0,0,1,0,0,0,0,1,HCILab1
1155.0,1185.0,0,0,5,0,0,1,0,0,1,0,0,1,0,1,HCILab1
1170.0,1200.0,0,0,7,0,0,1,0,0,1,0,1,1,0,2,"HCILab1, HCILab2"
1185.0,1215.0,0,0,6,0,0,0,0,0,0,0,1,0,0,2,HCILab2
1245.0,1275.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,CSLLaptop
1260.0,1290.0,0,0,1,0,0,0,0,0,1,3,2,1,0,0,"CSLLaptop, HCILab2"
1275.0,1305.0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,"CSLLaptop, HCILab2"
1560.0,1590.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HCILab2
1575.0,1605.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HCILab2
1590.0,1620.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,CSLPC
1605.0,1635.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,CSLPC
1740.0,1770.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CSLPC
1755.0,1785.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CSLPC
1800.0,1830.0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,HCILab1
1815.0,1845.0,0,0,5,0,0,1,1,0,1,0,2,1,0,0,HCILab1
1830.0,1860.0,0,0,5,0,0,1,1,0,0,0,2,0,0,0,"CSLLaptop, HCILab1"
1845.0,1875.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"CSLLaptop, HCILab2"
1860.0,1890.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HCILab2
1935.0,1965.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HCILab1
1950.0,1980.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,HCILab1
1965.0,1995.0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,HCILab1
1980.0,2010.0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,HCILab1
1995.0,2025.0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,HCILab1
2010.0,2040.0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,"HCILab1, HCILab2"
2025.0,2055.0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,"HCILab1, HCILab2"
2040.0,2070.0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,HCILab1
2055.0,2085.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,HCILab1
2070.0,2100.0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,"CSLLaptop, HCILab2"
2085.0,2115.0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,"CSLLaptop, HCILab1, HCILab2"
