speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_03,0.0,30.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SPEAKER_03,30.0,60.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,45.0,75.0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
SPEAKER_03,60.0,90.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_03,150.0,180.0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
SPEAKER_03,165.0,195.0,1,1,0,0,1,0,0,4,0,0,0,0,0,5
SPEAKER_03,180.0,210.0,1,1,0,0,1,0,0,1,0,0,0,0,0,4
SPEAKER_03,195.0,225.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_03,210.0,240.0,0,2,0,0,2,0,0,0,0,0,0,0,0,1
SPEAKER_03,225.0,255.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_03,255.0,285.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,270.0,300.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_03,285.0,315.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,315.0,345.0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
SPEAKER_03,330.0,360.0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
SPEAKER_03,345.0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_03,360.0,390.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_03,375.0,405.0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_03,390.0,420.0,0,3,0,0,5,0,0,0,0,0,2,0,0,2
SPEAKER_03,405.0,435.0,0,3,0,0,3,0,0,0,0,0,2,0,0,3
SPEAKER_03,420.0,450.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_03,450.0,480.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_03,465.0,495.0,0,5,0,0,2,0,0,1,0,0,0,0,0,1
SPEAKER_03,480.0,510.0,0,4,0,0,3,0,0,1,0,0,0,0,0,1
SPEAKER_03,495.0,525.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_03,555.0,585.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,570.0,600.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,630.0,660.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,645.0,675.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,795.0,825.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_03,810.0,840.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_03,825.0,855.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_03,870.0,900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
SPEAKER_03,885.0,915.0,0,2,0,0,3,1,0,0,0,0,0,0,0,2
SPEAKER_03,900.0,930.0,1,2,0,0,4,1,0,0,0,0,0,0,0,1
SPEAKER_03,915.0,945.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_03,945.0,975.0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
SPEAKER_03,960.0,990.0,0,1,0,0,3,0,0,0,0,0,0,0,0,4
SPEAKER_03,975.0,1005.0,0,0,1,0,3,0,0,0,0,0,0,0,0,2
SPEAKER_03,990.0,1020.0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_03,1020.0,1050.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_03,1035.0,1065.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
