window_start,window_end,P11_TMA,P32_IMO,P21_AMP,P12_TGS,P24_ACO,P20_ACT,P100_OVERALL,P22_ASM,P31_ICM,P13_TSF,P33_IAM,P30_INTER,P23_ATM,P10_TRANS,speaker
840.0,870.0,0,0,0,0,0,1,3,1,0,0,0,3,0,4,"SPEAKER_07, SPEAKER_08"
855.0,885.0,0,0,0,2,0,3,3,0,0,0,1,2,0,3,"SPEAKER_07, SPEAKER_08"
870.0,900.0,0,0,0,2,0,2,4,0,0,1,1,2,0,2,"SPEAKER_07, SPEAKER_08"
885.0,915.0,0,0,0,0,0,0,7,0,0,2,1,7,0,0,"SPEAKER_06, SPEAKER_07, SPEAKER_08"
900.0,930.0,0,0,0,0,0,1,6,0,0,3,1,6,1,1,"SPEAKER_06, SPEAKER_08"
915.0,945.0,0,0,0,0,0,1,2,0,0,2,0,1,1,3,"SPEAKER_07, SPEAKER_08"
930.0,960.0,0,0,0,0,1,1,2,0,0,0,0,2,1,5,"SPEAKER_07, SPEAKER_08"
945.0,975.0,0,0,3,0,1,1,2,1,0,1,0,2,1,5,SPEAKER_07
960.0,990.0,0,0,3,0,0,1,3,1,0,1,0,2,1,4,"SPEAKER_03, SPEAKER_07"
975.0,1005.0,0,0,1,0,1,1,3,0,0,1,0,2,1,4,"SPEAKER_03, SPEAKER_07"
990.0,1020.0,0,0,1,0,1,0,3,0,0,1,0,8,0,2,"SPEAKER_02, SPEAKER_03"
1005.0,1035.0,0,0,0,0,0,0,3,0,0,1,0,10,0,3,"SPEAKER_02, SPEAKER_03, SPEAKER_08"
1020.0,1050.0,0,0,0,0,0,0,3,0,0,2,0,5,0,3,"SPEAKER_03, SPEAKER_08"
1035.0,1065.0,0,0,0,0,0,1,3,1,0,1,0,6,0,0,"SPEAKER_03, SPEAKER_08"
1050.0,1080.0,0,0,0,0,0,1,1,1,0,0,0,5,0,0,"SPEAKER_03, SPEAKER_08"
1065.0,1095.0,0,0,0,1,0,1,0,0,0,1,0,4,0,2,"SPEAKER_01, SPEAKER_03, SPEAKER_08"
