speaker,window_start,window_end,P22_ASM,P12_TGS,P10_TRANS,P100_OVERALL,P24_ACO,P13_TSF,P32_IMO,P23_ATM,P20_ACT,P30_INTER,P31_ICM,P11_TMA,P33_IAM,P21_AMP
CSLLaptop,300.0,330.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
CSLLaptop,315.0,345.0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
CSLLaptop,330.0,360.0,1,0,1,1,0,0,0,0,0,3,0,0,0,0
CSLLaptop,345.0,375.0,1,0,1,0,0,0,0,0,0,2,0,0,0,1
CSLLaptop,360.0,390.0,1,0,1,1,0,0,0,0,0,2,0,0,0,1
CSLLaptop,375.0,405.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,480.0,510.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,495.0,525.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,675.0,705.0,0,0,1,1,0,0,0,0,0,3,0,0,0,0
CSLLaptop,690.0,720.0,0,0,1,2,0,0,0,0,1,4,0,0,0,0
CSLLaptop,705.0,735.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
CSLLaptop,720.0,750.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
CSLLaptop,735.0,765.0,0,0,4,0,1,0,0,2,0,1,0,0,0,0
CSLLaptop,750.0,780.0,0,0,4,0,1,0,0,1,0,1,0,0,0,0
CSLLaptop,810.0,840.0,0,0,0,1,0,1,0,0,0,3,0,0,0,0
CSLLaptop,825.0,855.0,0,0,0,1,0,1,0,0,0,3,0,0,0,0
CSLLaptop,885.0,915.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,900.0,930.0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
CSLLaptop,915.0,945.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CSLLaptop,930.0,960.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,1065.0,1095.0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
CSLLaptop,1080.0,1110.0,1,0,2,0,0,1,0,1,1,5,0,0,0,1
CSLLaptop,1095.0,1125.0,0,0,2,0,0,1,0,1,1,5,0,0,0,1
CSLLaptop,1110.0,1140.0,0,0,2,0,0,1,0,1,1,2,0,0,0,1
CSLLaptop,1155.0,1185.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,1170.0,1200.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,1185.0,1215.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,1200.0,1230.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,1245.0,1275.0,1,0,4,1,0,0,0,0,1,2,0,0,0,0
CSLLaptop,1260.0,1290.0,1,0,4,1,0,0,0,0,1,2,0,0,0,0
CSLLaptop,1290.0,1320.0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
CSLLaptop,1305.0,1335.0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
CSLLaptop,1320.0,1350.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1365.0,1395.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,1380.0,1410.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
