speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_03,645.0,675.0,0,1,0,0,1,0,0,4,0,0,0,0,0,0
SPEAKER_03,660.0,690.0,0,1,0,0,1,0,0,4,0,0,0,0,0,0
SPEAKER_03,2400.0,2430.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,2415.0,2445.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,2970.0,3000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_03,2985.0,3015.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_03,3720.0,3750.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
SPEAKER_03,3735.0,3765.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
SPEAKER_03,3750.0,3780.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_03,3765.0,3795.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
