speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_02,270.0,300.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,285.0,315.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,405.0,435.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_02,420.0,450.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_02,435.0,465.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,525.0,555.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_02,540.0,570.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_02,555.0,585.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,645.0,675.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_02,660.0,690.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_02,720.0,750.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,735.0,765.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,1065.0,1095.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_02,1080.0,1110.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_02,1155.0,1185.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_02,1170.0,1200.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_02,1185.0,1215.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,1200.0,1230.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,1365.0,1395.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_02,1380.0,1410.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_02,1560.0,1590.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SPEAKER_02,1575.0,1605.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SPEAKER_02,1590.0,1620.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SPEAKER_02,1605.0,1635.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_02,1620.0,1650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_02,1680.0,1710.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_02,1695.0,1725.0,0,3,0,0,0,0,0,0,0,0,0,1,0,1
SPEAKER_02,1710.0,1740.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
SPEAKER_02,2010.0,2040.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,2025.0,2055.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,2115.0,2145.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,2130.0,2160.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,2145.0,2175.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_02,2235.0,2265.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,2250.0,2280.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_02,2265.0,2295.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,2325.0,2355.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,2340.0,2370.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,2475.0,2505.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
