speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_10,225.0,255.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_10,240.0,270.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_10,285.0,315.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_10,300.0,330.0,0,1,0,0,3,0,0,0,0,0,0,0,0,1
SPEAKER_10,315.0,345.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_10,330.0,360.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_10,420.0,450.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_10,435.0,465.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_10,1005.0,1035.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_10,1020.0,1050.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_10,1035.0,1065.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_10,1050.0,1080.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_10,1065.0,1095.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_10,1095.0,1125.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_10,1110.0,1140.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_10,1305.0,1335.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_10,1320.0,1350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_10,1335.0,1365.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_10,1410.0,1440.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_10,1425.0,1455.0,0,3,0,0,1,0,0,6,0,0,0,3,0,4
SPEAKER_10,1440.0,1470.0,1,4,0,0,1,0,0,7,0,0,0,4,0,4
SPEAKER_10,1455.0,1485.0,1,1,0,0,0,0,0,2,0,0,0,1,0,1
SPEAKER_10,1470.0,1500.0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
SPEAKER_10,1485.0,1515.0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
SPEAKER_10,1500.0,1530.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_10,1800.0,1830.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_10,1815.0,1845.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_10,1875.0,1905.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_10,1890.0,1920.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_10,1905.0,1935.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_10,1920.0,1950.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_10,1935.0,1965.0,0,2,0,0,0,0,0,1,3,0,0,0,0,0
SPEAKER_10,1950.0,1980.0,0,2,0,0,0,0,0,1,4,0,0,0,0,0
SPEAKER_10,1965.0,1995.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
SPEAKER_10,1980.0,2010.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_10,1995.0,2025.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_10,2010.0,2040.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_10,2025.0,2055.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_10,2490.0,2520.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
SPEAKER_10,2505.0,2535.0,0,0,0,0,1,0,0,0,0,1,1,0,0,3
SPEAKER_10,2520.0,2550.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
SPEAKER_10,2535.0,2565.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_10,2550.0,2580.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_10,2565.0,2595.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_10,2910.0,2940.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SPEAKER_10,2925.0,2955.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
SPEAKER_10,2940.0,2970.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_10,2985.0,3015.0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
SPEAKER_10,3000.0,3030.0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
SPEAKER_10,3105.0,3135.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_10,3120.0,3150.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_10,3615.0,3645.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_10,3630.0,3660.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
