window_start,window_end,P31_ICM,P24_ACO,P30_INTER,P100_OVERALL,P23_ATM,P13_TSF,P20_ACT,P21_AMP,P10_TRANS,P12_TGS,P11_TMA,P22_ASM,P32_IMO,P33_IAM,speaker
840.0,870.0,0,0,4,3,0,0,5,1,0,0,0,0,0,0,"CSLLaptop, Chris, HCILab1"
855.0,885.0,0,0,3,1,0,0,9,1,1,0,0,0,0,0,"CSLLaptop, Chris, HCILab1, Lasse"
870.0,900.0,0,0,1,1,0,0,7,0,5,0,0,1,0,0,"Chris, HCILab1, Lasse"
885.0,915.0,0,0,1,0,1,1,3,0,9,0,0,2,0,1,"Chris, HCILab1"
900.0,930.0,0,0,1,2,1,2,1,0,6,0,0,1,0,1,"Chris, HCILab2"
915.0,945.0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,"HCILab1, HCILab2"
930.0,960.0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,"HCILab1, HCILab2"
945.0,975.0,0,0,7,0,0,2,1,0,0,0,0,0,0,0,"HCILab1, HCILab2"
960.0,990.0,0,0,2,0,0,2,4,0,1,0,0,3,0,0,"CSLLaptop, HCILab1, HCILab2"
975.0,1005.0,0,0,3,0,0,0,3,0,1,0,0,3,0,0,"CSLLaptop, HCILab1, HCILab2"
990.0,1020.0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,"HCILab1, HCILab2"
1005.0,1035.0,0,0,5,1,0,0,0,0,2,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
1020.0,1050.0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1035.0,1065.0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,HCILab1
1050.0,1080.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,HCILab1
1065.0,1095.0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,HCILab1
1080.0,1110.0,0,0,5,2,0,0,4,0,3,0,0,0,0,0,"HCILab1, HCILab2"
1095.0,1125.0,0,0,4,3,0,0,4,0,2,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1110.0,1140.0,0,0,3,3,0,0,3,0,0,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
1125.0,1155.0,0,0,4,3,0,0,2,0,1,0,0,2,0,0,"HCILab1, HCILab2"
1140.0,1170.0,0,0,4,3,0,0,4,0,2,0,0,1,0,0,"HCILab1, HCILab2"
1155.0,1185.0,0,0,6,2,0,0,6,0,4,0,0,0,0,0,"CSLLaptop, HCILab1"
1170.0,1200.0,0,0,9,1,0,2,5,0,4,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1185.0,1215.0,0,0,6,2,0,2,2,0,2,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
1200.0,1230.0,0,0,4,1,0,0,3,0,2,0,0,1,0,0,"HCILab1, HCILab2"
1215.0,1245.0,0,0,5,1,0,0,2,0,3,0,0,0,0,0,HCILab2
1230.0,1260.0,0,0,5,2,0,2,2,0,2,0,0,0,0,0,"CSLLaptop, HCILab2"
1245.0,1275.0,0,0,4,2,0,2,2,0,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1260.0,1290.0,0,0,8,3,0,1,0,0,2,0,0,0,0,0,"CSLLaptop, HCILab1"
1275.0,1305.0,0,0,8,2,0,1,1,0,1,0,0,0,0,1,"CSLLaptop, HCILab1, HCILab2"
1290.0,1320.0,0,0,7,1,0,1,3,0,1,0,0,0,0,1,"CSLLaptop, HCILab1, HCILab2"
1305.0,1335.0,0,0,7,4,0,1,2,0,2,0,0,0,0,0,"HCILab1, HCILab2"
1320.0,1350.0,0,0,5,4,0,0,0,0,1,0,0,0,0,0,HCILab1
1335.0,1365.0,0,0,4,1,0,0,2,1,0,0,0,1,0,0,HCILab1
1350.0,1380.0,0,0,2,0,0,0,4,1,1,0,0,1,0,0,HCILab1
1365.0,1395.0,0,0,6,1,0,0,3,0,1,0,0,0,0,0,HCILab1
1380.0,1410.0,0,0,6,2,1,0,2,0,1,0,0,0,0,0,"HCILab1, HCILab2"
1395.0,1425.0,0,0,9,1,1,0,2,0,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1410.0,1440.0,0,0,10,0,0,2,1,0,3,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1425.0,1455.0,0,0,7,0,0,3,1,0,6,0,0,1,0,0,"HCILab1, HCILab2"
1440.0,1470.0,0,0,9,1,0,1,2,0,3,0,0,1,0,0,"HCILab1, HCILab2"
1455.0,1485.0,0,0,8,1,0,0,2,0,1,0,3,0,0,0,"HCILab1, HCILab2"
1470.0,1500.0,0,0,4,1,0,0,2,0,2,0,3,0,0,0,"HCILab1, HCILab2"
1485.0,1515.0,0,0,4,2,0,0,2,0,3,0,0,0,0,0,"HCILab1, HCILab2"
1500.0,1530.0,0,0,6,1,0,1,1,0,4,0,0,0,0,0,"HCILab1, HCILab2"
1515.0,1545.0,0,0,10,0,0,1,0,0,4,0,0,0,0,0,"CSLLaptop, HCILab1"
1530.0,1560.0,0,0,9,0,1,0,0,0,2,0,0,0,0,0,"CSLLaptop, HCILab1"
1545.0,1575.0,0,0,10,1,1,0,0,1,0,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1560.0,1590.0,0,0,10,2,0,3,1,1,0,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1575.0,1605.0,0,0,4,1,0,3,2,0,1,0,0,0,0,0,HCILab1
1590.0,1620.0,0,0,12,2,1,1,1,0,4,0,0,0,0,0,"CSLLaptop, HCILab1"
1605.0,1635.0,0,0,20,2,1,1,0,0,3,0,0,0,0,1,"CSLLaptop, HCILab1"
1620.0,1650.0,0,0,14,0,0,0,1,0,0,0,0,1,0,1,"CSLLaptop, HCILab1"
1635.0,1665.0,0,0,8,2,0,0,3,1,3,0,0,1,0,0,"CSLLaptop, HCILab1"
1650.0,1680.0,0,0,9,2,0,0,3,1,6,0,0,0,0,1,"CSLLaptop, HCILab1"
1665.0,1695.0,0,0,10,1,0,0,1,0,3,0,0,1,0,3,"CSLLaptop, HCILab1"
1680.0,1710.0,0,0,5,2,0,0,2,0,2,0,0,6,0,2,"CSLLaptop, HCILab1"
1695.0,1725.0,0,0,8,5,0,0,5,0,2,0,0,6,0,0,"CSLLaptop, HCILab1, HCILab2"
1710.0,1740.0,0,0,11,5,0,0,4,0,2,0,0,3,0,1,"CSLLaptop, HCILab1, HCILab2"
1725.0,1755.0,0,0,8,2,0,1,4,0,2,0,0,2,0,1,"CSLLaptop, HCILab1, HCILab2"
1740.0,1770.0,0,0,11,2,0,1,5,0,1,0,0,0,0,0,"CSLLaptop, HCILab2"
1755.0,1785.0,0,0,8,2,0,1,2,0,3,0,0,0,0,0,"CSLLaptop, HCILab2"
1770.0,1800.0,0,0,4,3,0,2,2,0,3,0,1,0,0,0,"CSLLaptop, HCILab2"
1785.0,1815.0,0,0,2,2,0,1,2,0,2,0,1,0,0,0,HCILab2
1800.0,1830.0,0,0,6,1,0,0,2,0,2,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1815.0,1845.0,0,0,11,2,0,0,6,0,1,0,0,0,0,0,"CSLLaptop, HCILab1"
1830.0,1860.0,0,0,10,3,0,0,5,0,1,0,0,0,0,0,"CSLLaptop, HCILab1"
1845.0,1875.0,0,0,12,6,0,0,1,0,2,0,0,0,0,0,HCILab1
1860.0,1890.0,0,0,10,4,0,0,5,0,1,0,0,0,0,0,HCILab1
1875.0,1905.0,0,0,7,2,0,0,6,0,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1890.0,1920.0,0,0,6,5,0,0,2,0,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1905.0,1935.0,0,0,4,4,0,2,1,0,0,0,0,0,0,0,"CSLLaptop, HCILab1"
1920.0,1950.0,0,0,5,3,0,2,0,0,1,0,0,0,0,0,"CSLLaptop, HCILab1"
1935.0,1965.0,0,0,8,2,0,1,1,0,1,0,0,3,0,0,"CSLLaptop, HCILab1"
1950.0,1980.0,0,0,8,1,0,1,3,0,0,0,0,4,0,0,"CSLLaptop, HCILab1, HCILab2"
1965.0,1995.0,0,0,5,5,0,0,2,0,1,0,0,2,0,0,"HCILab1, HCILab2"
1980.0,2010.0,0,0,6,6,0,0,0,0,1,0,0,2,0,0,"HCILab1, HCILab2"
1995.0,2025.0,0,0,6,4,0,0,0,1,0,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2010.0,2040.0,0,0,5,2,0,0,1,1,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
2025.0,2055.0,0,0,10,1,0,0,1,0,3,0,0,0,0,0,"HCILab1, HCILab2"
2040.0,2070.0,0,0,14,1,0,0,0,0,4,0,0,1,0,0,"HCILab1, HCILab2"
2055.0,2085.0,0,0,12,0,0,0,4,0,4,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2070.0,2100.0,0,0,9,3,0,0,4,0,2,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
2085.0,2115.0,0,0,5,3,1,0,1,0,0,0,0,0,0,0,"HCILab1, HCILab2"
2100.0,2130.0,0,0,5,0,2,0,1,0,1,0,0,0,0,0,"HCILab1, HCILab2"
2115.0,2145.0,0,0,7,2,1,0,1,0,2,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2130.0,2160.0,0,0,8,2,1,1,1,0,1,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2145.0,2175.0,0,0,8,1,1,1,3,0,2,0,0,2,0,0,CSLLaptop
2160.0,2190.0,0,0,7,4,0,1,4,0,2,0,0,2,0,0,"CSLLaptop, HCILab2"
2175.0,2205.0,0,0,5,8,0,1,2,0,0,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2190.0,2220.0,0,0,3,8,0,0,3,0,0,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2205.0,2235.0,0,0,3,4,0,0,5,0,0,0,0,0,0,0,"HCILab1, HCILab2"
2220.0,2250.0,0,0,4,1,0,0,5,0,1,0,0,1,0,0,HCILab1
2235.0,2265.0,0,0,4,0,0,0,2,0,1,0,0,1,0,0,HCILab1
2250.0,2280.0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,"HCILab1, HCILab2"
2265.0,2295.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"HCILab1, HCILab2"
2280.0,2310.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,HCILab1
2295.0,2325.0,0,0,3,1,0,1,1,0,0,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2310.0,2340.0,0,0,5,2,0,1,1,0,1,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2325.0,2355.0,0,0,7,3,0,0,2,3,1,0,0,0,0,0,"HCILab1, HCILab2"
2340.0,2370.0,0,0,8,7,0,0,5,3,2,0,0,0,0,0,"HCILab1, HCILab2"
2355.0,2385.0,0,0,5,8,0,0,4,0,2,0,0,0,0,0,"HCILab1, HCILab2"
2370.0,2400.0,0,0,5,6,0,0,1,0,0,0,1,0,0,0,"CSLLaptop, HCILab1, HCILab2"
2385.0,2415.0,0,0,9,3,0,0,1,0,2,0,1,2,0,2,"CSLLaptop, HCILab1"
2400.0,2430.0,0,0,11,3,0,0,2,0,4,0,0,3,0,3,"CSLLaptop, HCILab1, HCILab2"
2415.0,2445.0,0,0,11,7,0,0,3,0,3,0,0,1,0,1,"CSLLaptop, HCILab1, HCILab2"
2430.0,2460.0,0,0,9,4,0,2,1,0,1,0,1,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2445.0,2475.0,0,0,9,1,0,2,0,0,2,0,1,1,0,0,"HCILab1, HCILab2"
2460.0,2490.0,0,0,9,1,0,0,2,0,2,0,0,1,0,0,"HCILab1, HCILab2"
2475.0,2505.0,0,0,5,3,0,0,3,0,0,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2490.0,2520.0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
2505.0,2535.0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,HCILab1
2520.0,2550.0,0,0,7,1,2,0,0,0,3,0,0,1,0,0,HCILab1
2535.0,2565.0,0,0,8,2,2,0,0,0,3,0,0,2,0,0,HCILab1
2550.0,2580.0,0,0,7,4,0,0,2,0,0,0,0,1,0,0,"HCILab1, HCILab2"
2565.0,2595.0,0,0,4,3,0,0,2,0,1,0,0,0,0,0,"HCILab1, HCILab2"
2580.0,2610.0,0,0,5,1,0,1,1,0,3,0,0,0,0,0,HCILab1
2595.0,2625.0,0,0,4,4,0,1,2,0,2,0,0,0,0,0,"HCILab1, HCILab2"
2610.0,2640.0,0,0,6,7,0,0,2,0,0,0,1,0,0,1,"CSLLaptop, HCILab1, HCILab2"
2625.0,2655.0,0,0,8,4,0,1,2,1,0,0,1,0,0,1,"CSLLaptop, HCILab1, HCILab2"
2640.0,2670.0,0,0,6,3,0,1,1,1,1,0,0,0,0,0,"CSLLaptop, HCILab1"
2655.0,2685.0,0,0,4,5,0,0,0,0,2,0,0,0,0,0,"CSLLaptop, HCILab1"
2670.0,2700.0,0,0,6,3,0,0,2,0,2,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
2685.0,2715.0,0,0,7,2,0,3,4,2,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
2700.0,2730.0,0,0,12,2,0,3,3,2,0,0,0,0,0,1,"CSLLaptop, HCILab1, HCILab2"
2715.0,2745.0,0,0,13,1,0,1,2,0,0,0,0,0,0,1,"CSLLaptop, HCILab1, HCILab2"
2730.0,2760.0,0,0,6,0,0,2,1,0,1,0,0,0,0,0,"CSLLaptop, HCILab1"
2745.0,2775.0,0,0,6,2,0,1,1,0,1,0,0,0,0,0,"CSLLaptop, HCILab1"
2760.0,2790.0,0,0,9,3,0,1,2,0,3,0,1,0,0,0,"CSLLaptop, HCILab1"
2775.0,2805.0,0,0,10,1,0,2,1,0,4,0,1,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2790.0,2820.0,0,0,11,2,0,1,1,0,1,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2805.0,2835.0,0,0,13,2,0,1,2,0,1,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2820.0,2850.0,0,0,11,1,0,2,2,1,1,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
2835.0,2865.0,0,0,9,3,1,1,5,2,0,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
2850.0,2880.0,0,0,10,2,1,0,5,1,0,0,0,0,0,0,"CSLLaptop, HCILab1"
2865.0,2895.0,0,0,7,1,0,0,1,0,1,0,0,0,0,0,"CSLLaptop, HCILab2"
2880.0,2910.0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,"CSLLaptop, HCILab2"
2895.0,2925.0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,"CSLLaptop, HCILab2"
2910.0,2940.0,0,0,11,3,0,0,2,0,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
2925.0,2955.0,0,0,9,3,0,1,4,0,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
2940.0,2970.0,0,0,10,3,0,1,3,1,2,0,0,0,0,0,HCILab1
2955.0,2985.0,0,0,14,2,0,0,1,2,2,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
2970.0,3000.0,0,0,10,0,0,0,0,1,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
2985.0,3015.0,0,0,5,0,0,1,0,0,4,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3000.0,3030.0,0,0,1,3,0,3,1,0,7,0,0,0,0,0,"CSLLaptop, HCILab1"
3015.0,3045.0,0,0,2,4,0,2,5,0,4,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3030.0,3060.0,0,0,4,2,0,1,6,0,1,0,0,2,0,0,"CSLLaptop, HCILab1, HCILab2"
3045.0,3075.0,0,0,4,3,0,5,2,0,3,0,0,2,0,0,"CSLLaptop, HCILab1, HCILab2"
3060.0,3090.0,0,0,2,2,0,7,0,0,4,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3075.0,3105.0,0,0,2,0,0,6,0,0,4,0,0,1,0,0,"HCILab1, HCILab2"
3090.0,3120.0,0,0,5,1,0,3,2,0,4,0,0,1,0,0,"HCILab1, HCILab2"
3105.0,3135.0,0,0,4,2,0,0,3,0,4,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
3120.0,3150.0,0,0,3,2,0,0,2,0,3,0,0,2,0,0,"CSLLaptop, HCILab1"
3135.0,3165.0,0,0,9,3,0,0,2,0,4,0,0,1,0,0,"CSLLaptop, HCILab1"
3150.0,3180.0,0,0,8,3,0,0,3,0,5,0,0,0,0,0,"CSLLaptop, HCILab1"
3165.0,3195.0,0,0,2,2,0,0,5,0,2,0,0,0,0,0,"CSLLaptop, HCILab1"
3180.0,3210.0,0,0,7,4,0,0,6,0,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3195.0,3225.0,0,0,15,5,0,0,3,0,2,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3210.0,3240.0,0,0,12,3,0,0,5,0,3,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3225.0,3255.0,0,0,4,6,0,0,6,0,3,0,0,0,0,0,"CSLLaptop, HCILab1"
3240.0,3270.0,0,0,4,6,0,1,2,0,1,0,1,0,0,0,"CSLLaptop, HCILab1"
3255.0,3285.0,0,0,7,2,0,2,1,0,1,0,1,0,0,0,HCILab1
3270.0,3300.0,0,1,9,1,0,1,3,0,3,0,0,0,0,0,"CSLLaptop, HCILab1"
3285.0,3315.0,0,1,12,3,0,3,3,0,2,0,0,0,0,0,"CSLLaptop, HCILab1"
3300.0,3330.0,0,0,9,4,2,3,0,0,0,0,0,0,0,0,"CSLLaptop, HCILab1"
3315.0,3345.0,0,0,3,5,2,0,1,0,1,0,0,1,0,0,"CSLLaptop, HCILab1"
3330.0,3360.0,0,0,1,8,0,0,2,0,1,0,0,1,0,0,"CSLLaptop, HCILab1"
3345.0,3375.0,0,0,4,4,0,1,2,0,2,0,0,1,0,0,"CSLLaptop, HCILab1"
3360.0,3390.0,0,0,7,1,0,1,1,1,3,0,0,1,0,0,"CSLLaptop, HCILab1"
3375.0,3405.0,0,0,4,2,0,0,1,1,1,0,0,0,0,0,"CSLLaptop, HCILab1"
3390.0,3420.0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,HCILab1
3405.0,3435.0,0,0,3,0,0,0,4,2,2,0,0,0,0,0,HCILab1
3420.0,3450.0,0,0,4,0,0,0,3,3,3,0,0,1,0,0,HCILab1
3435.0,3465.0,0,0,8,3,0,0,1,1,1,0,0,1,0,0,"CSLLaptop, HCILab1"
3450.0,3480.0,0,0,12,4,0,0,0,1,0,0,0,0,0,0,"CSLLaptop, HCILab1"
3465.0,3495.0,0,0,11,3,0,3,0,1,1,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
3480.0,3510.0,0,0,7,3,0,3,1,0,2,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
3495.0,3525.0,0,0,6,2,0,0,4,0,3,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3510.0,3540.0,0,0,9,1,0,0,8,0,2,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3525.0,3555.0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3540.0,3570.0,0,0,6,2,0,1,3,0,2,0,0,1,0,0,"CSLLaptop, HCILab1, HCILab2"
3555.0,3585.0,0,0,5,4,0,1,2,1,2,0,0,1,0,0,"CSLLaptop, HCILab1"
3570.0,3600.0,0,0,9,5,0,0,5,1,2,0,0,0,0,0,"CSLLaptop, HCILab1"
3585.0,3615.0,0,0,6,3,0,0,5,0,3,0,0,0,0,0,"CSLLaptop, HCILab1"
3600.0,3630.0,0,0,1,2,0,0,3,1,1,0,0,0,0,0,"CSLLaptop, HCILab1"
3615.0,3645.0,0,0,1,2,0,0,4,1,0,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3630.0,3660.0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,"CSLLaptop, HCILab2"
3645.0,3675.0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3660.0,3690.0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,HCILab1
3675.0,3705.0,0,0,3,2,1,0,3,1,0,0,0,0,0,0,"HCILab1, HCILab2"
3690.0,3720.0,0,0,4,1,1,0,5,1,3,0,0,0,0,0,"HCILab1, HCILab2"
3705.0,3735.0,0,0,6,0,1,0,5,1,3,0,0,0,0,0,"CSLLaptop, HCILab1"
3720.0,3750.0,0,0,7,0,0,0,2,1,1,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3735.0,3765.0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,"CSLLaptop, HCILab2"
3750.0,3780.0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,"CSLLaptop, HCILab1"
3765.0,3795.0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,"CSLLaptop, HCILab1"
