speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_03,210.0,240.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_03,225.0,255.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_03,270.0,300.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,285.0,315.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,300.0,330.0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
SPEAKER_03,315.0,345.0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
SPEAKER_03,1005.0,1035.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_03,1020.0,1050.0,0,1,0,0,3,0,0,1,0,0,0,0,0,0
SPEAKER_03,1035.0,1065.0,0,3,0,0,2,0,0,1,0,0,0,0,0,0
SPEAKER_03,1050.0,1080.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,1080.0,1110.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_03,1095.0,1125.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_03,1260.0,1290.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_03,1275.0,1305.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_03,1305.0,1335.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_03,1320.0,1350.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_03,1410.0,1440.0,0,3,0,0,1,0,0,3,0,0,0,3,0,2
SPEAKER_03,1425.0,1455.0,1,4,0,0,1,0,0,7,0,0,0,4,0,3
SPEAKER_03,1440.0,1470.0,1,1,0,0,0,0,0,5,0,0,0,1,0,2
SPEAKER_03,1455.0,1485.0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
SPEAKER_03,1470.0,1500.0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
SPEAKER_03,1485.0,1515.0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
SPEAKER_03,1785.0,1815.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_03,1800.0,1830.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_03,1890.0,1920.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,1905.0,1935.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_03,1920.0,1950.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
SPEAKER_03,1935.0,1965.0,0,3,0,0,0,0,0,1,3,0,0,0,0,0
SPEAKER_03,1950.0,1980.0,0,2,0,0,0,0,0,1,2,0,0,0,0,1
SPEAKER_03,1965.0,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_03,1995.0,2025.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_03,2010.0,2040.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_03,2475.0,2505.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
SPEAKER_03,2490.0,2520.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
SPEAKER_03,2520.0,2550.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_03,2535.0,2565.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_03,2550.0,2580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_03,2895.0,2925.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SPEAKER_03,2910.0,2940.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SPEAKER_03,2970.0,3000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_03,2985.0,3015.0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
SPEAKER_03,3000.0,3030.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SPEAKER_03,3105.0,3135.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_03,3120.0,3150.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
