speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_01,180.0,210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_01,195.0,225.0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
SPEAKER_01,210.0,240.0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
SPEAKER_01,225.0,255.0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
SPEAKER_01,240.0,270.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
SPEAKER_01,315.0,345.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_01,330.0,360.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_01,345.0,375.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_01,390.0,420.0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
SPEAKER_01,405.0,435.0,1,1,0,0,3,0,1,2,0,0,0,0,0,0
SPEAKER_01,420.0,450.0,1,2,0,0,0,0,1,1,0,0,0,0,0,0
SPEAKER_01,435.0,465.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_01,450.0,480.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,465.0,495.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,645.0,675.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SPEAKER_01,660.0,690.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SPEAKER_01,765.0,795.0,0,0,0,0,2,0,0,4,0,0,0,1,0,2
SPEAKER_01,780.0,810.0,0,0,0,0,6,0,0,4,0,0,0,1,0,2
SPEAKER_01,795.0,825.0,0,0,0,0,4,0,0,2,0,0,0,0,0,2
SPEAKER_01,810.0,840.0,0,0,0,0,2,0,0,3,0,0,0,0,0,2
SPEAKER_01,825.0,855.0,0,0,0,0,5,0,0,5,0,0,0,0,0,2
SPEAKER_01,840.0,870.0,0,0,0,0,4,0,0,3,0,0,0,0,0,2
SPEAKER_01,855.0,885.0,0,1,0,0,1,0,0,3,0,0,0,1,0,0
SPEAKER_01,870.0,900.0,0,1,0,0,1,0,0,6,0,0,0,4,0,0
SPEAKER_01,885.0,915.0,0,0,0,0,1,0,0,3,0,0,0,4,0,0
SPEAKER_01,1095.0,1125.0,0,0,0,0,3,0,0,1,0,0,1,0,0,2
SPEAKER_01,1110.0,1140.0,0,0,0,0,7,0,0,1,0,0,1,0,0,2
SPEAKER_01,1125.0,1155.0,1,0,0,0,6,0,0,0,0,0,0,1,0,0
SPEAKER_01,1140.0,1170.0,1,0,0,0,3,0,0,0,0,0,1,1,0,1
SPEAKER_01,1155.0,1185.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
SPEAKER_01,1785.0,1815.0,1,0,0,0,4,0,0,0,0,0,1,0,1,1
SPEAKER_01,1800.0,1830.0,1,0,0,0,5,0,0,2,0,0,1,0,1,1
SPEAKER_01,1815.0,1845.0,1,0,0,0,1,0,0,2,0,0,0,0,0,0
SPEAKER_01,1920.0,1950.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_01,1935.0,1965.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_01,1950.0,1980.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_01,1965.0,1995.0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
SPEAKER_01,1980.0,2010.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
SPEAKER_01,1995.0,2025.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
SPEAKER_01,2010.0,2040.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
SPEAKER_01,2025.0,2055.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
SPEAKER_01,2040.0,2070.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_01,2055.0,2085.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,2070.0,2100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,2310.0,2340.0,0,1,0,0,2,0,0,0,0,0,0,0,0,1
SPEAKER_01,2325.0,2355.0,0,1,0,0,3,2,0,0,0,0,0,1,0,1
SPEAKER_01,2340.0,2370.0,0,0,0,0,2,2,0,1,0,0,0,1,0,0
SPEAKER_01,2355.0,2385.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_01,2370.0,2400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_01,2385.0,2415.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_01,2955.0,2985.0,1,0,0,0,3,0,0,0,0,0,0,0,0,2
SPEAKER_01,2970.0,3000.0,1,0,0,0,3,0,0,0,0,0,0,0,0,2
SPEAKER_01,3270.0,3300.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
SPEAKER_01,3285.0,3315.0,0,0,0,0,1,0,0,0,0,0,0,1,0,3
