window_start,window_end,P10_TRANS,P20_ACT,P21_AMP,P12_TGS,P22_ASM,P100_OVERALL,P33_IAM,P23_ATM,P31_ICM,P11_TMA,P30_INTER,P13_TSF,P32_IMO,P24_ACO,speaker
0.0,30.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Chris
15.0,45.0,2,2,0,0,1,3,0,0,0,0,1,0,0,0,"Chris, Lasse"
30.0,60.0,3,10,0,0,2,4,0,0,0,0,1,1,0,0,Lasse
45.0,75.0,4,10,0,0,1,4,0,0,0,0,3,3,0,0,Lasse
60.0,90.0,4,9,0,0,2,4,0,0,0,0,5,5,0,0,Lasse
75.0,105.0,5,4,0,0,7,4,0,0,0,0,3,4,0,0,Lasse
90.0,120.0,9,5,0,0,7,1,0,0,0,1,0,1,0,0,Lasse
105.0,135.0,7,5,0,0,2,1,0,0,0,1,1,1,0,0,Lasse
120.0,150.0,2,2,0,0,0,2,0,0,0,0,2,2,0,0,"Chris, Lasse"
135.0,165.0,4,2,0,0,0,5,0,0,0,0,1,3,0,0,"CSLPC, Chris, Lasse"
150.0,180.0,4,1,0,0,0,4,0,0,0,0,1,2,0,0,"CSLLaptop, CSLPC, Chris"
165.0,195.0,3,2,0,0,0,6,0,0,0,0,2,1,0,0,"CSLLaptop, CSLPC"
180.0,210.0,2,4,0,0,1,5,0,0,0,0,3,1,0,0,"CSLLaptop, CSLPC, Chris"
195.0,225.0,1,6,0,0,1,5,0,0,0,0,2,1,0,0,"CSLPC, Chris"
210.0,240.0,2,2,0,0,1,0,0,0,0,0,5,1,0,0,"CSLLaptop, Chris"
225.0,255.0,1,2,0,0,0,0,0,0,0,0,6,0,0,0,"CSLLaptop, CSLPC"
240.0,270.0,0,3,0,0,0,1,0,0,0,0,5,1,0,0,"CSLLaptop, CSLPC"
255.0,285.0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,CSLPC
270.0,300.0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,CSLPC
285.0,315.0,2,3,0,0,0,1,0,0,0,0,6,1,0,0,"CSLLaptop, CSLPC, HCILab1, HCILab2"
300.0,330.0,1,1,0,0,0,2,0,0,0,0,8,1,0,0,"CSLLaptop, CSLPC, HCILab1, HCILab2"
315.0,345.0,1,0,0,0,0,2,0,0,0,0,5,1,0,0,"CSLLaptop, HCILab1, HCILab2"
345.0,375.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,"CSLLaptop, CSLPC"
360.0,390.0,2,0,1,0,0,2,0,0,0,1,2,0,0,0,"CSLLaptop, CSLPC"
375.0,405.0,3,1,0,0,0,2,1,0,0,0,5,0,0,0,"CSLLaptop, CSLPC, HCILab2"
390.0,420.0,2,1,0,0,0,0,1,0,0,0,3,0,0,0,"CSLLaptop, HCILab2"
405.0,435.0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,CSLLaptop
420.0,450.0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,"CSLLaptop, HCILab2"
435.0,465.0,2,1,0,0,0,0,1,0,0,0,5,0,1,0,"CSLLaptop, CSLPC, HCILab2"
450.0,480.0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,"CSLLaptop, CSLPC, HCILab1"
465.0,495.0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,"CSLLaptop, HCILab1"
480.0,510.0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,CSLPC
495.0,525.0,1,0,0,0,0,2,2,0,0,0,3,1,0,0,"CSLLaptop, CSLPC, HCILab1"
510.0,540.0,2,1,0,0,1,2,2,0,0,0,4,1,0,0,"CSLLaptop, CSLPC, HCILab1"
525.0,555.0,4,2,0,0,1,0,0,0,0,0,3,0,0,0,"CSLLaptop, CSLPC"
540.0,570.0,5,3,0,0,1,0,0,0,0,0,3,0,0,0,"CSLLaptop, CSLPC"
555.0,585.0,5,3,0,0,0,0,1,0,0,0,8,0,0,0,CSLLaptop
570.0,600.0,4,2,0,0,0,1,2,0,0,0,6,0,0,0,"CSLLaptop, CSLPC"
585.0,615.0,2,0,0,0,0,1,2,0,0,0,5,0,0,0,"CSLLaptop, CSLPC"
600.0,630.0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,"CSLLaptop, CSLPC"
615.0,645.0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,"CSLLaptop, CSLPC"
630.0,660.0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,"CSLLaptop, CSLPC"
645.0,675.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,CSLLaptop
660.0,690.0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,"CSLLaptop, HCILab2"
675.0,705.0,0,1,0,0,0,2,0,0,0,0,3,0,0,1,"CSLLaptop, CSLPC, HCILab2"
690.0,720.0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,"CSLPC, HCILab2"
705.0,735.0,1,2,0,0,0,1,0,0,0,0,2,0,0,2,"CSLPC, HCILab1"
720.0,750.0,3,3,0,0,0,2,1,0,0,0,4,1,0,0,"CSLLaptop, CSLPC, HCILab1"
735.0,765.0,2,2,0,0,0,1,1,0,0,0,3,1,0,0,CSLLaptop
750.0,780.0,5,2,0,0,0,2,1,2,0,0,3,1,0,0,"CSLLaptop, CSLPC"
765.0,795.0,5,1,0,0,0,3,0,3,0,0,5,0,0,0,"CSLLaptop, CSLPC, HCILab1"
780.0,810.0,3,1,0,0,0,2,0,3,0,0,4,0,0,0,"CSLLaptop, CSLPC, HCILab1"
795.0,825.0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,HCILab2
810.0,840.0,2,2,0,0,0,0,0,3,0,0,12,0,0,0,"CSLLaptop, HCILab1, HCILab2"
825.0,855.0,2,2,0,0,0,0,0,2,0,0,10,0,0,0,"CSLLaptop, HCILab1"
840.0,870.0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,"CSLLaptop, HCILab1"
855.0,885.0,3,1,0,0,0,1,0,0,0,0,2,0,0,0,CSLLaptop
