window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT,speaker
855.0,885.0,0,1,0,0,1,0,0,4,0,0,0,0,0,1,"SPEAKER_03, SPEAKER_05, SPEAKER_07"
870.0,900.0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,"SPEAKER_05, SPEAKER_06, SPEAKER_07, SPEAKER_08"
885.0,915.0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,"SPEAKER_03, SPEAKER_06, SPEAKER_08"
900.0,930.0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,"SPEAKER_03, SPEAKER_06"
915.0,945.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,SPEAKER_06
930.0,960.0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,"SPEAKER_02, SPEAKER_06"
945.0,975.0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,"SPEAKER_02, SPEAKER_06"
960.0,990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SPEAKER_06
975.0,1005.0,0,2,0,0,2,0,0,1,0,0,1,0,0,3,SPEAKER_06
990.0,1020.0,1,2,0,0,2,0,0,1,0,0,1,1,0,4,"SPEAKER_02, SPEAKER_06"
1005.0,1035.0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,"SPEAKER_02, SPEAKER_06"
1020.0,1050.0,1,2,0,0,2,0,0,1,0,0,1,0,0,0,SPEAKER_06
1035.0,1065.0,1,2,0,0,5,0,0,0,0,0,0,1,0,0,"SPEAKER_03, SPEAKER_06"
1050.0,1080.0,0,1,0,0,9,0,0,1,0,0,0,2,0,2,SPEAKER_03
1065.0,1095.0,0,0,0,0,9,0,0,1,0,0,0,1,0,2,"SPEAKER_03, SPEAKER_07"
1080.0,1110.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
1095.0,1125.0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,"SPEAKER_03, SPEAKER_06"
1110.0,1140.0,0,1,0,0,3,1,0,3,0,0,0,0,0,2,SPEAKER_06
1125.0,1155.0,0,2,0,0,2,1,0,3,0,0,0,0,0,3,"SPEAKER_06, SPEAKER_07, SPEAKER_08"
1140.0,1170.0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,"SPEAKER_06, SPEAKER_07, SPEAKER_08"
1155.0,1185.0,0,1,0,0,3,0,0,1,0,0,0,0,0,3,"SPEAKER_02, SPEAKER_07"
1170.0,1200.0,0,1,0,0,6,0,0,1,0,0,0,0,0,3,"SPEAKER_02, SPEAKER_03, SPEAKER_06, SPEAKER_07"
1185.0,1215.0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
1200.0,1230.0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,SPEAKER_06
1215.0,1245.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,SPEAKER_06
1230.0,1260.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,SPEAKER_03
1245.0,1275.0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,SPEAKER_03
1260.0,1290.0,0,0,0,0,4,0,0,1,0,0,0,1,0,1,SPEAKER_03
1275.0,1305.0,0,1,0,0,6,0,0,0,0,0,1,0,0,2,SPEAKER_03
1290.0,1320.0,0,2,0,0,10,0,0,0,0,0,1,0,1,1,"SPEAKER_03, SPEAKER_04, SPEAKER_06"
1305.0,1335.0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,"SPEAKER_03, SPEAKER_04, SPEAKER_06"
1320.0,1350.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"SPEAKER_06, SPEAKER_07"
1335.0,1365.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"SPEAKER_06, SPEAKER_07"
1350.0,1380.0,0,4,0,0,7,0,0,0,1,0,0,0,0,0,"SPEAKER_06, SPEAKER_07"
1365.0,1395.0,0,4,0,0,6,0,0,0,1,0,0,0,0,1,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
1380.0,1410.0,0,0,0,0,5,0,0,2,0,0,0,0,0,4,"SPEAKER_03, SPEAKER_06"
1395.0,1425.0,0,0,0,0,5,0,0,3,0,0,0,0,0,5,SPEAKER_06
1410.0,1440.0,0,1,0,0,3,0,0,1,1,0,0,0,0,2,"SPEAKER_03, SPEAKER_06"
1425.0,1455.0,0,2,0,0,3,0,0,0,1,0,1,0,0,2,"SPEAKER_03, SPEAKER_06"
1440.0,1470.0,0,1,0,0,6,0,0,0,1,0,2,0,0,3,"SPEAKER_02, SPEAKER_06, SPEAKER_07"
1455.0,1485.0,0,0,0,0,4,0,0,0,1,0,1,0,0,1,"SPEAKER_02, SPEAKER_06, SPEAKER_07"
1485.0,1515.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,SPEAKER_06
1500.0,1530.0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,SPEAKER_06
1515.0,1545.0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,SPEAKER_06
1545.0,1575.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SPEAKER_06
1560.0,1590.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,SPEAKER_06
1575.0,1605.0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,SPEAKER_06
1590.0,1620.0,2,1,0,0,4,0,0,2,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_06"
1605.0,1635.0,2,2,0,0,6,0,0,1,0,0,0,1,0,0,"SPEAKER_02, SPEAKER_07"
1620.0,1650.0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,"SPEAKER_02, SPEAKER_07"
1635.0,1665.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,SPEAKER_06
1650.0,1680.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,SPEAKER_06
1665.0,1695.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,SPEAKER_06
1800.0,1830.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SPEAKER_06
1815.0,1845.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SPEAKER_06
1830.0,1860.0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,"SPEAKER_02, SPEAKER_06"
1845.0,1875.0,1,1,0,0,5,0,0,1,0,0,0,1,0,3,"SPEAKER_02, SPEAKER_06"
1860.0,1890.0,1,1,0,0,3,0,0,1,0,0,0,0,0,4,"SPEAKER_02, SPEAKER_06"
1875.0,1905.0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,"SPEAKER_03, SPEAKER_06"
1890.0,1920.0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,SPEAKER_03
1905.0,1935.0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,"SPEAKER_03, SPEAKER_07"
1920.0,1950.0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,"SPEAKER_03, SPEAKER_07"
1950.0,1980.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SPEAKER_06
1965.0,1995.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,SPEAKER_06
1980.0,2010.0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,"SPEAKER_03, SPEAKER_06"
1995.0,2025.0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,SPEAKER_03
2010.0,2040.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,SPEAKER_03
2025.0,2055.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,SPEAKER_03
2040.0,2070.0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,SPEAKER_03
2055.0,2085.0,0,0,0,0,9,0,0,1,0,0,0,1,0,0,SPEAKER_03
2070.0,2100.0,0,1,0,0,7,0,1,0,0,0,0,2,0,1,"SPEAKER_03, SPEAKER_06"
2085.0,2115.0,0,1,0,0,2,0,1,1,0,0,0,1,0,1,"SPEAKER_03, SPEAKER_06"
2100.0,2130.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,SPEAKER_06
2190.0,2220.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SPEAKER_06
2205.0,2235.0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,SPEAKER_06
2220.0,2250.0,0,4,0,0,1,0,0,0,0,1,1,0,0,1,"SPEAKER_06, SPEAKER_07"
2235.0,2265.0,1,4,0,0,2,0,0,3,0,0,0,1,0,2,SPEAKER_07
2250.0,2280.0,2,2,0,0,2,0,1,5,0,0,0,1,0,2,"SPEAKER_02, SPEAKER_07"
2265.0,2295.0,2,1,0,0,2,1,1,3,0,0,0,0,0,4,"SPEAKER_02, SPEAKER_06"
2280.0,2310.0,1,1,0,0,2,1,0,1,0,0,0,0,0,4,"SPEAKER_03, SPEAKER_06"
2295.0,2325.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"SPEAKER_03, SPEAKER_06"
2310.0,2340.0,0,1,0,0,3,0,0,0,1,0,0,1,0,2,SPEAKER_03
2325.0,2355.0,0,1,0,0,4,0,0,0,2,0,2,1,0,3,SPEAKER_03
2340.0,2370.0,0,1,0,0,10,0,0,2,3,0,2,0,0,4,"SPEAKER_03, SPEAKER_07"
2355.0,2385.0,0,1,0,0,9,0,0,2,1,0,0,0,0,2,"SPEAKER_03, SPEAKER_07"
2370.0,2400.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,SPEAKER_03
2385.0,2415.0,0,0,0,0,9,0,0,0,0,0,0,2,0,1,"SPEAKER_03, SPEAKER_06"
2400.0,2430.0,0,0,0,0,4,0,0,0,0,0,1,2,0,1,"SPEAKER_03, SPEAKER_06"
2415.0,2445.0,0,1,0,0,7,2,0,0,0,0,1,1,0,0,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
2430.0,2460.0,0,1,0,0,6,2,0,1,0,0,0,0,0,0,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
