window_start,window_end,P22_ASM,P12_TGS,P10_TRANS,P100_OVERALL,P24_ACO,P13_TSF,P32_IMO,P23_ATM,P20_ACT,P30_INTER,P31_ICM,P11_TMA,P33_IAM,P21_AMP,speaker
300.0,330.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,CSLLaptop
315.0,345.0,0,0,2,1,0,0,0,0,1,5,0,0,0,0,"CSLLaptop, HCILab1"
330.0,360.0,1,0,2,1,0,0,0,0,1,8,0,0,2,0,"CSLLaptop, HCILab1"
345.0,375.0,1,0,1,0,0,0,0,0,0,7,0,0,2,1,"CSLLaptop, HCILab1"
360.0,390.0,1,0,1,1,0,0,0,0,1,6,0,0,0,1,"CSLLaptop, HCILab1"
375.0,405.0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,"CSLLaptop, HCILab1"
390.0,420.0,0,0,0,1,0,0,0,0,4,3,0,1,0,0,"HCILab1, HCILab2"
405.0,435.0,0,0,2,0,0,0,0,0,4,5,0,2,0,0,"HCILab1, HCILab2"
420.0,450.0,0,0,2,0,0,0,0,0,3,7,0,2,0,0,"HCILab1, HCILab2"
435.0,465.0,0,0,2,0,0,0,0,0,2,5,0,0,0,0,"HCILab1, HCILab2"
450.0,480.0,0,0,2,0,0,0,0,0,1,5,0,0,0,0,"HCILab1, HCILab2"
465.0,495.0,0,0,3,1,0,0,0,0,2,7,0,0,0,1,"HCILab1, HCILab2"
480.0,510.0,0,0,1,2,0,0,0,0,2,4,0,0,0,1,"CSLLaptop, HCILab1, HCILab2"
495.0,525.0,1,0,2,2,0,0,0,0,3,4,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
510.0,540.0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,"HCILab1, HCILab2"
525.0,555.0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,HCILab2
540.0,570.0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,"HCILab1, HCILab2"
555.0,585.0,0,0,1,1,0,0,0,0,3,6,0,0,1,0,"HCILab1, HCILab2"
570.0,600.0,0,0,1,1,0,0,0,0,2,6,0,0,1,0,"HCILab1, HCILab2"
585.0,615.0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,"HCILab1, HCILab2"
660.0,690.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,HCILab1
675.0,705.0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,"CSLLaptop, HCILab1"
690.0,720.0,0,0,2,5,0,0,0,0,2,5,0,0,0,0,"CSLLaptop, HCILab1"
705.0,735.0,0,0,1,3,0,0,0,0,2,2,0,0,0,0,"CSLLaptop, HCILab1"
720.0,750.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,CSLLaptop
735.0,765.0,0,0,4,0,1,0,0,2,0,3,0,0,0,0,"CSLLaptop, HCILab2"
