window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT,speaker
960.0,990.0,0,1,0,0,2,0,0,1,0,0,0,0,0,3,"SPEAKER_01, SPEAKER_02"
975.0,1005.0,0,1,0,0,2,0,0,2,0,0,0,1,0,3,"SPEAKER_00, SPEAKER_02"
990.0,1020.0,0,1,0,0,5,0,0,3,0,0,0,1,0,2,"SPEAKER_00, SPEAKER_02"
1005.0,1035.0,0,4,0,0,6,0,0,2,0,0,0,1,0,1,"SPEAKER_00, SPEAKER_02"
1020.0,1050.0,0,4,0,0,4,0,0,0,0,0,0,1,0,2,"SPEAKER_00, SPEAKER_02"
1035.0,1065.0,1,2,0,0,3,0,1,0,0,0,0,0,0,4,SPEAKER_02
1050.0,1080.0,1,1,0,0,3,0,2,0,0,0,0,0,0,3,"SPEAKER_02, SPEAKER_04"
1065.0,1095.0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,"SPEAKER_02, SPEAKER_04"
1080.0,1110.0,1,0,0,0,5,1,0,2,0,0,1,1,0,1,SPEAKER_04
1095.0,1125.0,1,2,0,0,7,1,0,3,0,0,0,1,0,1,"SPEAKER_00, SPEAKER_02, SPEAKER_04"
1110.0,1140.0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_02, SPEAKER_04"
1125.0,1155.0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,SPEAKER_02
1140.0,1170.0,0,1,0,1,0,0,0,3,0,0,0,3,0,1,SPEAKER_02
1155.0,1185.0,1,0,0,1,3,1,0,2,1,0,0,1,1,2,"SPEAKER_02, SPEAKER_04"
1170.0,1200.0,1,3,0,0,7,1,0,2,1,0,3,0,1,2,"SPEAKER_02, SPEAKER_04, SPEAKER_06"
1185.0,1215.0,0,6,0,0,7,1,0,2,0,0,3,0,0,2,"SPEAKER_02, SPEAKER_04, SPEAKER_05, SPEAKER_06"
1200.0,1230.0,1,3,0,0,3,1,0,3,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_04, SPEAKER_05"
1215.0,1245.0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,SPEAKER_02
1245.0,1275.0,0,1,0,0,2,0,0,3,0,0,1,0,0,1,SPEAKER_04
1260.0,1290.0,0,1,0,0,5,0,0,5,0,0,2,0,0,2,"SPEAKER_00, SPEAKER_02, SPEAKER_04"
1275.0,1305.0,0,1,0,0,3,0,0,2,0,0,1,2,0,2,"SPEAKER_00, SPEAKER_02"
1290.0,1320.0,0,2,0,0,5,0,0,1,0,0,0,2,0,1,"SPEAKER_00, SPEAKER_02, SPEAKER_04, SPEAKER_05"
1305.0,1335.0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_02, SPEAKER_04, SPEAKER_05"
1350.0,1380.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SPEAKER_00
1365.0,1395.0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_04"
1380.0,1410.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_04"
1395.0,1425.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_04"
1410.0,1440.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,SPEAKER_00
1425.0,1455.0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,"SPEAKER_00, SPEAKER_02"
1440.0,1470.0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,SPEAKER_02
1455.0,1485.0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,"SPEAKER_02, SPEAKER_04"
1470.0,1500.0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,"SPEAKER_02, SPEAKER_04"
1485.0,1515.0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,SPEAKER_02
1500.0,1530.0,0,1,0,0,0,0,0,2,0,0,1,1,0,1,SPEAKER_02
1515.0,1545.0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,SPEAKER_02
1530.0,1560.0,0,3,0,0,3,0,0,0,0,0,0,0,2,0,"SPEAKER_02, SPEAKER_04"
1545.0,1575.0,0,3,0,0,4,1,0,1,0,0,0,1,0,2,"SPEAKER_00, SPEAKER_02, SPEAKER_04"
1560.0,1590.0,0,3,0,0,3,1,0,3,0,0,0,1,0,2,"SPEAKER_00, SPEAKER_02, SPEAKER_04"
1575.0,1605.0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,"SPEAKER_02, SPEAKER_04"
1590.0,1620.0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,SPEAKER_02
1605.0,1635.0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,"SPEAKER_00, SPEAKER_02"
1620.0,1650.0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_02"
1635.0,1665.0,0,0,0,0,4,0,0,2,0,0,0,1,1,1,"SPEAKER_00, SPEAKER_02"
1650.0,1680.0,1,0,0,0,0,0,0,3,0,0,0,1,2,3,"SPEAKER_00, SPEAKER_02"
