window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT,speaker
585.0,615.0,0,3,0,0,3,0,0,1,0,0,1,0,0,2,"SPEAKER_01, SPEAKER_07"
600.0,630.0,0,0,0,0,8,0,0,0,1,0,1,0,0,2,"SPEAKER_01, SPEAKER_07"
615.0,645.0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,"SPEAKER_01, SPEAKER_08"
630.0,660.0,0,2,0,0,2,0,0,2,1,0,1,0,0,1,"SPEAKER_01, SPEAKER_07, SPEAKER_08"
645.0,675.0,0,2,0,0,5,0,0,4,1,0,1,0,0,1,"SPEAKER_01, SPEAKER_06, SPEAKER_07"
660.0,690.0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_06"
675.0,705.0,0,2,0,0,2,0,0,0,0,1,0,0,0,1,"SPEAKER_01, SPEAKER_04"
690.0,720.0,0,3,0,0,0,0,0,1,0,1,1,0,0,1,"SPEAKER_01, SPEAKER_04"
705.0,735.0,0,2,0,0,0,0,0,1,0,0,1,0,0,3,"SPEAKER_01, SPEAKER_04"
720.0,750.0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,"SPEAKER_01, SPEAKER_04"
735.0,765.0,0,2,0,0,2,1,0,1,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_04"
750.0,780.0,1,2,0,0,2,1,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_04"
765.0,795.0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,"SPEAKER_01, SPEAKER_04"
780.0,810.0,1,3,0,0,1,0,0,0,0,0,0,1,0,1,"SPEAKER_01, SPEAKER_04"
795.0,825.0,1,2,0,0,3,0,0,0,0,0,0,0,0,2,SPEAKER_01
810.0,840.0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,SPEAKER_01
825.0,855.0,0,2,0,0,1,1,0,1,0,0,1,1,0,1,"SPEAKER_01, SPEAKER_02, SPEAKER_04, SPEAKER_07"
840.0,870.0,1,4,0,0,2,1,0,1,0,0,0,1,0,1,"SPEAKER_01, SPEAKER_02, SPEAKER_04, SPEAKER_07"
855.0,885.0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,SPEAKER_01
870.0,900.0,0,2,0,0,2,2,0,0,1,0,0,0,0,0,"SPEAKER_01, SPEAKER_02, SPEAKER_07"
885.0,915.0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,"SPEAKER_02, SPEAKER_07"
900.0,930.0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02"
915.0,945.0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02"
930.0,960.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,SPEAKER_01
945.0,975.0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_07"
960.0,990.0,2,1,0,0,5,0,0,0,0,0,0,1,0,1,"SPEAKER_01, SPEAKER_04, SPEAKER_07"
975.0,1005.0,0,1,0,0,9,0,0,2,0,0,0,1,0,0,"SPEAKER_01, SPEAKER_04"
990.0,1020.0,0,1,0,0,12,0,0,2,0,0,0,0,1,1,SPEAKER_01
1005.0,1035.0,0,1,0,0,8,0,0,0,0,0,0,0,1,1,"SPEAKER_01, SPEAKER_03"
1020.0,1050.0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_03"
1035.0,1065.0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_03"
1050.0,1080.0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_03"
1065.0,1095.0,0,3,0,0,1,0,0,0,0,0,0,0,1,2,"SPEAKER_01, SPEAKER_02"
1080.0,1110.0,0,3,0,0,1,0,0,1,0,0,0,0,1,2,"SPEAKER_01, SPEAKER_02, SPEAKER_03"
1095.0,1125.0,0,4,0,0,6,0,0,2,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02, SPEAKER_03"
1110.0,1140.0,0,4,0,0,7,0,0,1,0,0,1,0,1,0,"SPEAKER_01, SPEAKER_07"
1125.0,1155.0,0,2,0,0,6,0,0,0,2,0,2,0,1,0,"SPEAKER_01, SPEAKER_07"
1140.0,1170.0,0,1,0,0,7,0,0,2,2,0,1,1,0,0,SPEAKER_01
1155.0,1185.0,0,1,0,0,6,1,0,3,0,0,1,2,0,0,SPEAKER_01
1170.0,1200.0,0,0,0,0,4,1,0,1,0,0,1,1,0,0,"SPEAKER_00, SPEAKER_01"
1185.0,1215.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"SPEAKER_00, SPEAKER_07"
1200.0,1230.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,SPEAKER_07
1215.0,1245.0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,SPEAKER_07
1230.0,1260.0,0,4,0,0,3,0,0,2,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07"
1245.0,1275.0,0,4,0,0,7,0,0,2,0,0,1,1,0,0,"SPEAKER_01, SPEAKER_07"
1260.0,1290.0,0,3,0,0,8,0,0,0,0,0,1,1,0,2,"SPEAKER_01, SPEAKER_03"
1275.0,1305.0,1,1,0,0,12,0,0,0,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_03"
1290.0,1320.0,1,0,0,0,10,1,0,0,0,0,0,0,0,0,SPEAKER_01
1305.0,1335.0,1,0,0,0,7,1,0,1,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_03"
1320.0,1350.0,1,1,0,0,6,0,0,1,0,0,0,0,0,3,"SPEAKER_01, SPEAKER_03"
1335.0,1365.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,SPEAKER_01
1350.0,1380.0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_07"
1365.0,1395.0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_07"
1380.0,1410.0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,SPEAKER_01
1395.0,1425.0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,SPEAKER_01
1410.0,1440.0,2,4,0,0,1,0,0,3,0,0,0,3,0,3,"SPEAKER_01, SPEAKER_03"
1425.0,1455.0,1,4,0,0,1,0,0,7,0,0,0,4,0,4,"SPEAKER_01, SPEAKER_03"
1440.0,1470.0,1,2,0,0,1,0,0,5,0,0,0,1,0,2,"SPEAKER_01, SPEAKER_03"
1455.0,1485.0,0,1,0,0,3,0,0,2,0,0,1,0,0,2,"SPEAKER_01, SPEAKER_03"
1470.0,1500.0,0,1,0,0,4,0,0,1,0,0,1,0,0,1,"SPEAKER_01, SPEAKER_03"
1485.0,1515.0,0,1,0,0,2,0,1,2,0,0,0,1,0,0,"SPEAKER_01, SPEAKER_03"
1500.0,1530.0,0,0,0,0,5,0,1,2,0,0,1,1,0,0,"SPEAKER_01, SPEAKER_07"
1515.0,1545.0,0,1,0,0,9,0,0,1,0,0,1,0,0,0,"SPEAKER_01, SPEAKER_07"
1530.0,1560.0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,SPEAKER_01
1545.0,1575.0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_07"
1560.0,1590.0,0,0,0,0,9,0,0,1,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_07"
1575.0,1605.0,1,1,0,0,7,0,0,3,1,0,0,0,0,2,"SPEAKER_01, SPEAKER_07"
1590.0,1620.0,2,2,0,0,8,0,0,2,1,0,0,0,0,2,"SPEAKER_01, SPEAKER_09"
1605.0,1635.0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07, SPEAKER_09"
1620.0,1650.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,SPEAKER_07
1635.0,1665.0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,SPEAKER_01
1650.0,1680.0,0,2,0,0,3,0,0,2,0,0,0,3,0,6,SPEAKER_01
1665.0,1695.0,0,2,0,0,4,0,0,2,0,0,0,4,0,5,"SPEAKER_01, SPEAKER_06"
1680.0,1710.0,0,1,0,0,3,0,0,1,0,0,0,1,0,1,"SPEAKER_01, SPEAKER_06"
1695.0,1725.0,0,1,0,0,2,0,0,3,0,0,1,0,0,1,"SPEAKER_01, SPEAKER_07"
1710.0,1740.0,0,1,0,0,7,0,0,3,0,0,1,0,0,1,"SPEAKER_01, SPEAKER_07"
1725.0,1755.0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,SPEAKER_07
1740.0,1770.0,0,1,0,0,11,0,0,3,0,1,0,0,0,0,"SPEAKER_01, SPEAKER_07"
1755.0,1785.0,0,3,0,0,8,0,0,0,0,1,0,0,0,1,"SPEAKER_01, SPEAKER_07"
1770.0,1800.0,0,4,0,0,6,0,0,0,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_08"
1785.0,1815.0,0,3,0,0,3,0,0,1,0,0,0,1,0,2,"SPEAKER_01, SPEAKER_03, SPEAKER_08"
1800.0,1830.0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,"SPEAKER_01, SPEAKER_03"
1815.0,1845.0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07"
1830.0,1860.0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07"
1845.0,1875.0,0,2,0,0,3,0,0,0,0,0,1,0,0,2,"SPEAKER_02, SPEAKER_04, SPEAKER_07"
1860.0,1890.0,0,3,0,0,3,0,0,0,0,1,1,0,0,2,"SPEAKER_01, SPEAKER_02, SPEAKER_04, SPEAKER_07"
1875.0,1905.0,0,1,0,0,5,0,0,0,1,1,0,0,0,0,SPEAKER_01
1890.0,1920.0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,"SPEAKER_01, SPEAKER_03"
1905.0,1935.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,SPEAKER_03
1920.0,1950.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,SPEAKER_03
1935.0,1965.0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,SPEAKER_03
1950.0,1980.0,0,3,0,0,3,0,0,1,2,0,0,0,0,2,"SPEAKER_00, SPEAKER_03"
1965.0,1995.0,0,2,0,0,10,0,0,0,0,0,0,1,0,3,"SPEAKER_00, SPEAKER_01, SPEAKER_03"
1980.0,2010.0,0,1,0,0,11,0,1,0,1,0,0,1,0,4,SPEAKER_01
1995.0,2025.0,0,1,0,0,4,0,1,1,1,0,0,0,0,3,"SPEAKER_01, SPEAKER_03"
2010.0,2040.0,0,1,0,0,6,0,0,2,1,0,0,0,0,2,"SPEAKER_03, SPEAKER_07"
2025.0,2055.0,0,0,0,0,9,0,0,1,1,0,0,0,0,3,"SPEAKER_01, SPEAKER_07"
2040.0,2070.0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_07"
2055.0,2085.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,SPEAKER_07
2070.0,2100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_07"
2085.0,2115.0,0,1,0,0,4,0,0,1,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_07"
2100.0,2130.0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07, SPEAKER_08"
2115.0,2145.0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_06, SPEAKER_08"
2130.0,2160.0,1,2,0,0,0,0,0,3,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_06"
2145.0,2175.0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,SPEAKER_01
2175.0,2205.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SPEAKER_01
2190.0,2220.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SPEAKER_01
2205.0,2235.0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,SPEAKER_01
2220.0,2250.0,0,3,0,0,9,0,0,0,0,0,0,1,0,0,"SPEAKER_01, SPEAKER_07"
2235.0,2265.0,0,1,0,0,12,0,0,1,0,0,0,1,0,2,"SPEAKER_01, SPEAKER_07"
2250.0,2280.0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_07"
2265.0,2295.0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,SPEAKER_01
2280.0,2310.0,1,2,0,0,1,0,0,1,0,0,0,0,0,3,"SPEAKER_00, SPEAKER_01, SPEAKER_07"
2295.0,2325.0,2,0,0,0,5,0,0,0,0,0,0,0,0,3,"SPEAKER_00, SPEAKER_01, SPEAKER_07"
2310.0,2340.0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_07"
2325.0,2355.0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_07"
2340.0,2370.0,0,1,0,0,9,0,0,0,0,0,1,0,0,2,SPEAKER_01
2355.0,2385.0,0,1,0,0,9,0,0,2,0,0,1,0,0,1,SPEAKER_01
2370.0,2400.0,1,1,0,0,7,0,0,2,0,0,0,0,0,0,SPEAKER_01
2385.0,2415.0,1,1,0,0,3,0,0,0,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_07"
2400.0,2430.0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_07"
2415.0,2445.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,SPEAKER_01
2430.0,2460.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SPEAKER_01
