speaker,window_start,window_end,P31_ICM,P24_ACO,P30_INTER,P100_OVERALL,P23_ATM,P13_TSF,P20_ACT,P21_AMP,P10_TRANS,P12_TGS,P11_TMA,P22_ASM,P32_IMO,P33_IAM
HCILab1,255.0,285.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,270.0,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,330.0,360.0,0,0,4,1,0,1,0,0,0,0,0,0,0,0
HCILab1,345.0,375.0,0,0,4,1,0,1,0,0,0,0,0,0,0,0
HCILab1,375.0,405.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HCILab1,390.0,420.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HCILab1,435.0,465.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,450.0,480.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,495.0,525.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
HCILab1,510.0,540.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
HCILab1,540.0,570.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
HCILab1,555.0,585.0,0,1,2,0,0,0,1,0,1,0,0,0,0,0
HCILab1,570.0,600.0,0,1,2,0,0,0,0,0,1,0,0,0,0,0
HCILab1,585.0,615.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
HCILab1,600.0,630.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
HCILab1,615.0,645.0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
HCILab1,630.0,660.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
HCILab1,645.0,675.0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
HCILab1,660.0,690.0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
HCILab1,675.0,705.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,690.0,720.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,705.0,735.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,840.0,870.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HCILab1,855.0,885.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HCILab1,885.0,915.0,0,0,3,0,1,0,0,0,0,0,0,0,0,1
HCILab1,900.0,930.0,0,0,3,0,1,0,0,0,0,0,0,0,0,1
HCILab1,930.0,960.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HCILab1,945.0,975.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
HCILab1,960.0,990.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,1140.0,1170.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,1155.0,1185.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,1200.0,1230.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HCILab1,1215.0,1245.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
HCILab1,1230.0,1260.0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
HCILab1,1245.0,1275.0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
HCILab1,1260.0,1290.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HCILab1,1575.0,1605.0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
HCILab1,1590.0,1620.0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
HCILab1,1620.0,1650.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1635.0,1665.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1695.0,1725.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,1710.0,1740.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,1725.0,1755.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
HCILab1,1740.0,1770.0,0,0,10,0,0,0,0,0,2,0,0,0,0,0
HCILab1,1755.0,1785.0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
HCILab1,1770.0,1800.0,0,1,4,0,0,0,0,0,2,0,0,0,0,0
HCILab1,1785.0,1815.0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1800.0,1830.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1830.0,1860.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab1,1845.0,1875.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
HCILab1,1860.0,1890.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1875.0,1905.0,0,0,1,0,0,0,2,0,0,0,0,1,0,0
HCILab1,1890.0,1920.0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
HCILab1,2025.0,2055.0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
HCILab1,2040.0,2070.0,0,0,9,0,0,0,2,0,1,0,0,0,0,1
HCILab1,2055.0,2085.0,0,0,6,0,0,0,1,0,1,0,0,0,0,1
HCILab1,2070.0,2100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab1,2100.0,2130.0,0,0,2,0,0,0,2,0,1,0,0,0,0,0
HCILab1,2115.0,2145.0,0,0,5,0,0,0,2,0,1,0,0,0,0,0
HCILab1,2130.0,2160.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
