speaker,window_start,window_end,P22_ASM,P12_TGS,P10_TRANS,P100_OVERALL,P24_ACO,P13_TSF,P32_IMO,P23_ATM,P20_ACT,P30_INTER,P31_ICM,P11_TMA,P33_IAM,P21_AMP
CSLLaptop,225.0,255.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,240.0,270.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CSLLaptop,255.0,285.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,300.0,330.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CSLLaptop,315.0,345.0,0,0,2,1,0,0,0,0,1,3,0,0,0,0
CSLLaptop,330.0,360.0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
CSLLaptop,1020.0,1050.0,0,0,1,1,0,0,0,0,0,3,0,0,0,0
CSLLaptop,1035.0,1065.0,0,0,1,1,0,0,0,0,0,3,0,0,0,0
CSLLaptop,1050.0,1080.0,0,0,1,2,0,0,0,0,0,4,0,0,0,0
CSLLaptop,1065.0,1095.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
CSLLaptop,1080.0,1110.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1095.0,1125.0,0,0,1,2,0,0,0,0,0,1,0,0,0,0
CSLLaptop,1110.0,1140.0,0,0,1,2,0,0,0,0,0,1,0,0,0,0
CSLLaptop,1125.0,1155.0,0,0,1,2,0,0,0,0,0,1,0,0,0,0
CSLLaptop,1320.0,1350.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
CSLLaptop,1335.0,1365.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
CSLLaptop,1350.0,1380.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,1425.0,1455.0,0,0,1,3,0,0,0,0,2,1,0,0,0,0
CSLLaptop,1440.0,1470.0,0,0,6,3,0,3,0,0,4,1,0,0,0,0
CSLLaptop,1455.0,1485.0,0,0,5,0,0,3,0,0,2,0,0,0,0,0
CSLLaptop,1515.0,1545.0,1,0,1,0,0,0,0,0,0,5,0,0,0,0
CSLLaptop,1530.0,1560.0,1,0,1,0,0,0,0,0,0,5,0,0,0,0
CSLLaptop,1545.0,1575.0,1,0,1,0,0,0,0,0,0,5,0,0,0,0
CSLLaptop,1815.0,1845.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1830.0,1860.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1905.0,1935.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,1920.0,1950.0,0,0,0,1,0,0,0,0,0,2,0,0,2,0
CSLLaptop,1935.0,1965.0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
CSLLaptop,1950.0,1980.0,0,0,1,3,0,0,0,0,0,1,0,0,4,0
CSLLaptop,1965.0,1995.0,0,0,1,3,0,0,0,0,0,2,0,0,4,0
CSLLaptop,1980.0,2010.0,0,0,1,2,0,0,0,0,0,1,0,0,2,0
CSLLaptop,1995.0,2025.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,2010.0,2040.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,2025.0,2055.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,2490.0,2520.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,2505.0,2535.0,1,0,0,0,1,0,0,0,2,1,0,0,0,0
CSLLaptop,2520.0,2550.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
CSLLaptop,2550.0,2580.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CSLLaptop,2565.0,2595.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
CSLLaptop,2580.0,2610.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CSLLaptop,2925.0,2955.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CSLLaptop,2940.0,2970.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CSLLaptop,2955.0,2985.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CSLLaptop,2985.0,3015.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,3000.0,3030.0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
CSLLaptop,3015.0,3045.0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
CSLLaptop,3075.0,3105.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3090.0,3120.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3120.0,3150.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3135.0,3165.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3630.0,3660.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3645.0,3675.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
