speaker,window_start,window_end,P10_TRANS,P20_ACT,P21_AMP,P12_TGS,P22_ASM,P100_OVERALL,P33_IAM,P23_ATM,P31_ICM,P11_TMA,P30_INTER,P13_TSF,P32_IMO,P24_ACO
Chris,120.0,150.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chris,135.0,165.0,0,1,0,0,0,1,0,0,0,0,2,1,0,0
Chris,150.0,180.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
Chris,1530.0,1560.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Chris,1545.0,1575.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Chris,1560.0,1590.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Chris,3195.0,3225.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Chris,3210.0,3240.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Chris,3750.0,3780.0,1,0,3,0,0,1,0,0,0,0,1,0,0,0
Chris,3765.0,3795.0,1,1,3,0,0,2,0,0,0,0,1,0,1,0
Chris,3780.0,3810.0,1,2,0,0,1,1,0,0,0,0,3,0,1,0
Chris,3795.0,3825.0,3,3,0,0,1,2,0,1,0,0,3,0,0,0
Chris,3810.0,3840.0,3,3,0,0,1,4,1,1,0,0,3,0,0,0
Chris,3825.0,3855.0,2,0,0,0,0,3,1,1,0,0,3,0,0,0
